Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Jasper Cillessen,Netherlands,1,GK, (1989-04-22),8,,Ajax,Netherlands,2014-06-12
Ron Vlaar,Netherlands,2,DF, (1985-02-16),24,,Aston Villa,England,2014-06-12
Stefan de Vrij,Netherlands,3,DF, (1992-02-05),12,,Feyenoord,Netherlands,2014-06-12
Bruno Martins Indi,Netherlands,4,DF, (1992-02-08),16,,Feyenoord,Netherlands,2014-06-12
Daley Blind,Netherlands,5,DF, (1990-03-09),12,,Ajax,Netherlands,2014-06-12
Nigel de Jong,Netherlands,6,MF, (1984-11-30),71,,Milan,Italy,2014-06-12
Daryl Janmaat,Netherlands,7,DF, (1989-07-22),16,,Feyenoord,Netherlands,2014-06-12
Jonathan de Guzmán,Netherlands,8,MF, (1987-09-13),10,,Swansea City,Wales,2014-06-12
Robin van Persie (c),Netherlands,9,FW, (1983-08-06),85,,Manchester United,England,2014-06-12
Wesley Sneijder,Netherlands,10,MF, (1984-06-09),99,,Galatasaray,Turkey,2014-06-12
Arjen Robben,Netherlands,11,FW, (1984-01-23),75,,Bayern Munich,Germany,2014-06-12
Paul Verhaegh,Netherlands,12,DF, (1983-09-01),2,,FC Augsburg,Germany,2014-06-12
Joël Veltman,Netherlands,13,DF, (1992-01-15),2,,Ajax,Netherlands,2014-06-12
Terence Kongolo,Netherlands,14,DF, (1994-02-14),1,,Feyenoord,Netherlands,2014-06-12
Dirk Kuyt,Netherlands,15,FW, (1980-07-22),98,,Fenerbahçe,Turkey,2014-06-12
Jordy Clasie,Netherlands,16,MF, (1991-06-27),8,,Feyenoord,Netherlands,2014-06-12
Jeremain Lens,Netherlands,17,FW, (1987-11-24),22,,Dynamo Kyiv,Ukraine,2014-06-12
Leroy Fer,Netherlands,18,MF, (1990-01-05),6,,Norwich City,England,2014-06-12
Klaas-Jan Huntelaar,Netherlands,19,FW, (1983-08-12),62,,Schalke 04,Germany,2014-06-12
Georginio Wijnaldum,Netherlands,20,MF, (1990-11-11),5,,PSV Eindhoven,Netherlands,2014-06-12
Memphis Depay,Netherlands,21,FW, (1994-02-13),6,,PSV Eindhoven,Netherlands,2014-06-12
Michel Vorm,Netherlands,22,GK, (1983-10-20),14,,Swansea City,Wales,2014-06-12
Tim Krul,Netherlands,23,GK, (1988-04-03),5,,Newcastle United,England,2014-06-12
