Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Mathew Ryan,Australia,1,GK, (1992-04-08),7,,Club Brugge,Belgium
Ivan Franjic,Australia,2,DF, (1987-09-10),9,,Brisbane Roar,Australia
Jason Davidson,Australia,3,DF, (1991-06-29),7,,Heracles Almelo,Netherlands
Tim Cahill,Australia,4,FW, (1979-12-06),69,,New York Red Bulls,United States
Mark Milligan,Australia,5,MF, (1985-08-04),29,,Melbourne Victory,Australia
Matthew Spiranovic,Australia,6,DF, (1988-06-27),18,,Western Sydney Wanderers,Australia
Mathew Leckie,Australia,7,FW, (1991-02-04),8,,FSV Frankfurt[36],Germany
Bailey Wright,Australia,8,DF, (1992-07-28),0,,Preston North End,England
Adam Taggart,Australia,9,FW, (1993-06-02),5,,Newcastle Jets[37],Australia
Ben Halloran,Australia,10,MF, (1992-06-14),2,,Fortuna Düsseldorf,Germany
Tommy Oar,Australia,11,MF, (1991-12-10),15,,Utrecht,Netherlands
Mitchell Langerak,Australia,12,GK, (1988-08-22),3,,Borussia Dortmund,Germany
Oliver Bozanic,Australia,13,MF, (1989-01-08),3,,Luzern,Switzerland
James Troisi,Australia,14,MF, (1988-07-03),11,,Melbourne Victory[38],Australia
Mile Jedinak (c),Australia,15,MF, (1984-08-03),44,,Crystal Palace,England
James Holland,Australia,16,MF, (1989-05-15),14,,Austria Wien,Austria
Matt McKay,Australia,17,MF, (1983-01-11),47,,Brisbane Roar,Australia
Eugene Galekovic,Australia,18,GK, (1981-06-12),8,,Adelaide United,Australia
Ryan McGowan,Australia,19,DF, (1989-08-15),9,,Shandong Luneng Taishan,China
Dario Vidošić,Australia,20,MF, (1987-04-08),23,,Sion,Switzerland
Massimo Luongo,Australia,21,MF, (1992-09-25),1,,Swindon Town,England
Alex Wilkinson,Australia,22,DF, (1984-08-13),3,,Jeonbuk Hyundai Motors,South Korea
Mark Bresciano,Australia,23,MF, (1980-02-11),74,,Al-Gharafa,Qatar
