Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Máximo Banguera,Ecuador,1,GK, (1985-12-16),25,,Barcelona SC,Ecuador
Jorge Guagua,Ecuador,2,DF, (1981-09-28),59,,Emelec,Ecuador
Frickson Erazo,Ecuador,3,DF, (1988-05-05),37,,Flamengo,Brazil
Juan Carlos Paredes,Ecuador,4,DF, (1987-07-08),38,,Barcelona SC,Ecuador
Renato Ibarra,Ecuador,5,MF, (1991-01-20),18,,Vitesse,Netherlands
Christian Noboa,Ecuador,6,MF, (1985-04-09),42,,Dynamo Moscow,Russia
Jefferson Montero,Ecuador,7,MF, (1989-09-01),40,,Morelia,Mexico
Édison Méndez,Ecuador,8,MF, (1979-03-16),110,,Santa Fe,Colombia
Joao Rojas,Ecuador,9,MF, (1989-06-14),30,,Cruz Azul,Mexico
Walter Ayoví,Ecuador,10,DF, (1979-08-11),90,,Pachuca,Mexico
Felipe Caicedo,Ecuador,11,FW, (1988-09-05),50,,Al Jazira,United Arab Emirates
Adrián Bone,Ecuador,12,GK, (1988-09-08),3,,El Nacional,Ecuador
Enner Valencia,Ecuador,13,FW, (1989-11-04),10,,Pachuca,Mexico
Oswaldo Minda,Ecuador,14,MF, (1983-07-26),18,,Chivas USA,United States
Michael Arroyo,Ecuador,15,MF, (1987-04-23),21,,Atlante,Mexico
Antonio Valencia (c),Ecuador,16,MF, (1985-08-04),71,,Manchester United,England
Jaime Ayoví,Ecuador,17,FW, (1988-02-21),30,,Tijuana,Mexico
Óscar Bagüí,Ecuador,18,DF, (1982-12-10),21,,Emelec,Ecuador
Luis Saritama,Ecuador,19,MF, (1983-10-20),49,,Barcelona SC,Ecuador
Fidel Martínez,Ecuador,20,MF, (1990-02-15),8,,Tijuana[86],Mexico
Gabriel Achilier,Ecuador,21,DF, (1985-03-24),23,,Emelec,Ecuador
Alexander Domínguez,Ecuador,22,GK, (1987-06-05),18,,LDU Quito,Ecuador
Carlos Gruezo,Ecuador,23,MF, (1995-04-19),3,,VfB Stuttgart,Germany
