Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
David Ospina,Colombia,1,GK, (1988-08-31),44,,Nice,France
Cristián Zapata,Colombia,2,DF, (1986-09-30),24,,Milan,Italy
Mario Yepes (c),Colombia,3,DF, (1976-01-13),98,,Atalanta,Italy
Santiago Arias,Colombia,4,DF, (1992-01-13),6,,PSV Eindhoven,Netherlands
Carlos Carbonero,Colombia,5,MF, (1990-07-25),1,,River Plate,Argentina
Carlos Sánchez,Colombia,6,MF, (1986-02-06),44,,Elche,Spain
Pablo Armero,Colombia,7,DF, (1986-11-02),53,,West Ham United[53],England
Abel Aguilar,Colombia,8,MF, (1985-01-06),49,,Toulouse,France
Teófilo Gutiérrez,Colombia,9,FW, (1985-05-17),30,,River Plate,Argentina
James Rodríguez,Colombia,10,MF, (1991-07-12),22,,Monaco,France
Juan Cuadrado,Colombia,11,MF, (1988-05-26),28,,Fiorentina,Italy
Camilo Vargas,Colombia,12,GK, (1989-03-09),0,,Santa Fe,Colombia
Fredy Guarín,Colombia,13,MF, (1986-06-30),49,,Inter Milan,Italy
Víctor Ibarbo,Colombia,14,FW, (1990-05-19),9,,Cagliari,Italy
Alexander Mejía,Colombia,15,MF, (1988-07-11),8,,Atlético Nacional,Colombia
Éder Álvarez Balanta,Colombia,16,DF, (1993-02-28),3,,River Plate,Argentina
Carlos Bacca,Colombia,17,FW, (1986-09-08),11,,Sevilla,Spain
Juan Camilo Zúñiga,Colombia,18,DF, (1985-12-14),50,,Napoli,Italy
Adrián Ramos,Colombia,19,FW, (1986-01-22),26,,Hertha BSC,Germany
Juan Fernando Quintero,Colombia,20,MF, (1993-01-18),4,,Porto,Portugal
Jackson Martínez,Colombia,21,FW, (1986-10-03),27,,Porto,Portugal
Faryd Mondragón,Colombia,22,GK, (1971-06-21),50,,Deportivo Cali,Colombia
Carlos Valdés,Colombia,23,DF, (1985-05-22),14,,San Lorenzo[54],Argentina
