Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Stephen Adams,Ghana,1,GK, (1989-09-28),7,,Aduana Stars,Ghana
Samuel Inkoom,Ghana,2,DF, (1989-06-01),46,,Platanias[131],Greece
Asamoah Gyan (c),Ghana,3,FW, (1985-11-22),79,,Al Ain,United Arab Emirates
Daniel Opare,Ghana,4,DF, (1990-10-18),16,,Standard Liège[132],Belgium
Michael Essien,Ghana,5,MF, (1982-12-03),57,,Milan,Italy
Afriyie Acquah,Ghana,6,MF, (1992-01-05),5,,Parma,Italy
Christian Atsu,Ghana,7,MF, (1992-01-10),23,,Vitesse[133],Netherlands
Emmanuel Agyemang-Badu,Ghana,8,MF, (1990-12-02),49,,Udinese,Italy
Kevin-Prince Boateng,Ghana,9,FW, (1987-03-06),13,,Schalke 04,Germany
André Ayew,Ghana,10,MF, (1989-12-17),49,,Marseille,France
Sulley Muntari,Ghana,11,MF, (1984-08-27),82,,Milan,Italy
Adam Larsen Kwarasey,Ghana,12,GK, (1987-12-12),21,,Strømsgodset,Norway
Jordan Ayew,Ghana,13,FW, (1991-09-11),13,,Sochaux[134],France
Albert Adomah,Ghana,14,MF, (1987-12-13),15,,Middlesbrough,England
Rashid Sumaila,Ghana,15,DF, (1992-12-18),6,,Mamelodi Sundowns,South Africa
Fatau Dauda,Ghana,16,GK, (1985-04-06),18,,Orlando Pirates,South Africa
Mohammed Rabiu,Ghana,17,MF, (1989-12-31),17,,Kuban Krasnodar,Russia
Abdul Majeed Waris,Ghana,18,FW, (1991-09-19),13,,Valenciennes[135],France
Jonathan Mensah,Ghana,19,DF, (1990-07-13),27,,Evian,France
Kwadwo Asamoah,Ghana,20,MF, (1988-12-09),62,,Juventus,Italy
John Boye,Ghana,21,DF, (1987-04-23),30,,Rennes,France
Mubarak Wakaso,Ghana,22,MF, (1990-07-25),17,,Rubin Kazan,Russia
Harrison Afful,Ghana,23,DF, (1986-06-24),41,,Espérance de Tunis,Tunisia
