Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Ferenc Mészáros,Hungary,1,GK, (1950-04-11),25,,Sporting CP,Portugal
Győző Martos,Hungary,2,DF, (1949-12-15),27,,Waterschei Thor,Belgium
László Bálint,Hungary,3,DF, (1948-02-01),74,,Toulouse,France
József Tóth,Hungary,4,DF, (1951-12-02),47,,Újpest,Hungary
Sándor Müller,Hungary,5,MF, (1948-09-21),15,,Hércules,Spain
Imre Garaba,Hungary,6,DF, (1958-07-29),17,,Budapest Honvéd,Hungary
László Fazekas,Hungary,7,FW, (1947-10-15),87,,Antwerp,Belgium
Tibor Nyilasi (c),Hungary,8,FW, (1955-01-18),49,,Ferencváros,Hungary
András Törőcsik,Hungary,9,FW, (1955-05-01),33,,Újpest,Hungary
László Kiss,Hungary,10,FW, (1956-03-12),24,,Vasas,Hungary
Gábor Pölöskei,Hungary,11,FW, (1960-10-11),6,,Ferencváros,Hungary
Lázár Szentes,Hungary,12,FW, (1955-12-12),1,,Győr,Hungary
Tibor Rab,Hungary,13,DF, (1955-10-02),19,,Ferencváros,Hungary
Sándor Sallai,Hungary,14,DF, (1960-03-26),8,,Debrecen,Hungary
Béla Bodonyi,Hungary,15,FW, (1956-09-14),13,,Budapest Honvéd,Hungary
Ferenc Csongrádi,Hungary,16,MF, (1956-03-29),13,,Videoton,Hungary
Károly Csapó,Hungary,17,MF, (1952-02-23),17,,Tatabányai Bányász,Hungary
Attila Kerekes,Hungary,18,DF, (1954-04-04),10,,Békéscsabai Előre,Hungary
József Varga,Hungary,19,DF, (1954-10-09),9,,Budapest Honvéd,Hungary
József Csuhay,Hungary,20,DF, (1957-07-12),0,,Videoton,Hungary
Béla Katzirz,Hungary,21,GK, (1953-07-27),15,,Pécs,Hungary
Imre Kiss,Hungary,22,GK, (1957-08-10),0,,Tatabányai Bányász,Hungary
