Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Mehdi Cerbah,Algeria,1,GK, (1953-04-03),46,,RC Kouba,Algeria,1982-06-13
Mahmoud Guendouz,Algeria,2,DF, (1953-02-24),33,,NA Hussein Dey,Algeria,1982-06-13
Mustapha Kouici,Algeria,3,DF, (1954-04-16),?,,NA Hussein Dey,Algeria,1982-06-13
Noureddine Kourichi,Algeria,4,DF, (1954-04-12),0,,Bordeaux,France,1982-06-13
Chaâbane Merzekane,Algeria,5,DF, (1959-03-08),4,,NA Hussein Dey,Algeria,1982-06-13
Ali Bencheikh,Algeria,6,FW, (1955-01-09),?,,MC Alger,Algeria,1982-06-13
Salah Assad,Algeria,7,FW, (1958-03-13),48,,RS Kouba,Algeria,1982-06-13
Ali Fergani (c),Algeria,8,MF, (1952-09-21),45,,JE Tizi-Ouzou,Algeria,1982-06-13
Tedj Bensaoula,Algeria,9,FW, (1954-12-01),23,,MP Oran,Algeria,1982-06-13
Lakhdar Belloumi,Algeria,10,MF, (1958-12-29),42,,GCR Mascara,Algeria,1982-06-13
Rabah Madjer,Algeria,11,FW, (1958-12-15),31,,MA Hussein Dey,Algeria,1982-06-13
Salah Larbès,Algeria,12,MF, (1952-09-16),4,,JE Tizi-Ouzou,Algeria,1982-06-13
Hocine Yahi,Algeria,13,MF, (1960-04-25),7,,CM Belcourt,Algeria,1982-06-13
Djamel Zidane,Algeria,14,FW, (1955-04-28),0,,Kortrijk,Belgium,1982-06-13
Mustapha Dahleb,Algeria,15,MF, (1952-02-08),0,,Paris Saint-Germain,France,1982-06-13
Faouzi Mansouri,Algeria,16,DF, (1956-01-17),0,,Montpellier,France,1982-06-13
Abdelkader Horr,Algeria,17,DF, (1953-11-10),?,,DNC Alger,Algeria,1982-06-13
Karim Maroc,Algeria,18,MF, (1958-03-05),0,,Tours,France,1982-06-13
Djamel Tlemçani,Algeria,19,MF, (1955-04-16),0,,Reims,France,1982-06-13
Abdelmajid Bourebbou,Algeria,20,FW, (1951-03-16),0,,Laval,France,1982-06-13
Mourad Amara,Algeria,21,GK, (1959-02-19),4,,JE Tizi-Ouzou,Algeria,1982-06-13
Yacine Bentalaa,Algeria,22,GK, (1955-09-24),?,,MA Hussein Dey,Algeria,1982-06-13
