Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Harald Schumacher,West Germany,1,GK, (1954-03-06),25,,1. FC Köln,West Germany
Hans-Peter Briegel,West Germany,2,DF, (1955-10-11),27,,1. FC Kaiserslautern,West Germany
Paul Breitner,West Germany,3,DF, (1951-09-05),41,,Bayern Munich,West Germany
Karlheinz Förster,West Germany,4,DF, (1958-07-25),35,,VfB Stuttgart,West Germany
Bernd Förster,West Germany,5,DF, (1956-05-03),15,,VfB Stuttgart,West Germany
Wolfgang Dremmler,West Germany,6,MF, (1954-07-12),11,,Bayern Munich,West Germany
Pierre Littbarski,West Germany,7,MF, (1960-04-16),7,,1. FC Köln,West Germany
Klaus Fischer,West Germany,8,FW, (1949-12-27),39,,1. FC Köln,West Germany
Horst Hrubesch,West Germany,9,FW, (1951-04-17),16,,Hamburger SV,West Germany
Hansi Müller,West Germany,10,MF, (1957-07-27),34,,VfB Stuttgart,West Germany
Karl-Heinz Rummenigge (c),West Germany,11,FW, (1955-09-25),52,,Bayern Munich,West Germany
Wilfried Hannes,West Germany,12,DF, (1957-05-17),7,,Borussia Mönchengladbach,West Germany
Uwe Reinders,West Germany,13,FW, (1955-01-19),1,,Werder Bremen,West Germany
Felix Magath,West Germany,14,MF, (1953-07-26),20,,Hamburger SV,West Germany
Uli Stielike,West Germany,15,DF, (1954-11-15),23,,Real Madrid,Spain
Thomas Allofs*,West Germany,16,FW, (1959-11-17),0,,Fortuna Düsseldorf,West Germany
Stephan Engels*,West Germany,17,MF, (1960-09-06),3,,1. FC Köln,West Germany
Lothar Matthäus,West Germany,18,MF, (1961-03-21),7,,Borussia Mönchengladbach,West Germany
Holger Hieronymus*,West Germany,19,DF, (1959-02-22),2,,Hamburger SV,West Germany
Manfred Kaltz,West Germany,20,DF, (1953-01-06),59,,Hamburger SV,West Germany
Bernd Franke,West Germany,21,GK, (1948-02-12),7,,Eintracht Braunschweig,West Germany
Eike Immel,West Germany,22,GK, (1960-11-27),4,,Borussia Dortmund,West Germany
