Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Thomas N'Kono (c),Cameroon,1,GK, (1956-07-20),39,,Canon Yaoundé,Cameroon
Michel Kaham,Cameroon,2,DF, (1952-06-01),0,,Stade Quimperois,France
Edmond Enoka,Cameroon,3,DF, (1955-12-17),?,,Dragon Douala,Cameroon
René N'Djeya,Cameroon,4,DF, (1953-10-09),0,,Union Douala,Cameroon
Elie Onana,Cameroon,5,DF, (1951-10-13),0,,Fédéral SFC du Noun,Cameroon
Emmanuel Kundé,Cameroon,6,DF, (1956-07-15),19,,Canon Yaoundé,Cameroon
Ephrem M'Bom,Cameroon,7,MF, (1954-07-18),0,,Canon Yaoundé,Cameroon
Grégoire M'Bida,Cameroon,8,MF, (1955-01-27),0,,Canon Yaoundé,Cameroon
Roger Milla,Cameroon,9,FW, (1952-05-20),34,,Bastia,France
Jean-Pierre Tokoto,Cameroon,10,MF, (1948-01-26),0,,Philadelphia Fever,United States
Charles Toubé,Cameroon,11,MF, (1958-01-22),0,,Tonnerre Yaoundé,Cameroon
Joseph-Antoine Bell,Cameroon,12,GK, (1954-10-08),0,,Africa Sports,Ivory Coast
Paul Bahoken,Cameroon,13,FW, (1955-07-07),0,,Cannes,France
Théophile Abega,Cameroon,14,MF, (1954-07-09),0,,Canon Yaoundé,Cameroon
François N'Doumbé,Cameroon,15,DF, (1954-01-30),31,,Union Douala,Cameroon
Ibrahim Aoudou,Cameroon,16,DF, (1955-08-23),21,,Cannes,France
Joseph Kamga,Cameroon,17,MF, (1957-07-25),?,,Union Douala,Cameroon
Jacques N'Guea,Cameroon,18,FW, (1955-11-08),0,,Canon Yaoundé,Cameroon
Joseph Enanga,Cameroon,19,MF, (1958-08-28),?,,Union Douala,Cameroon
Oscar Eyobo,Cameroon,20,FW, (1961-10-23),0,,Dynamo Douala,Cameroon
Ernest Ebongué,Cameroon,21,FW, (1962-05-15),6,,Tonnerre Yaoundé,Cameroon
Simon Tchobang,Cameroon,22,GK, (1951-08-31),?,,Dynamo Douala,Cameroon
