Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Dominik Livaković,Croatia,1,GK, (1995-01-09),1,0,Dinamo Zagreb,Croatia,2018-06-14
Šime Vrsaljko,Croatia,2,DF, (1992-01-10),35,0,Atlético Madrid,Spain,2018-06-14
Ivan Strinić,Croatia,3,DF, (1987-07-17),43,0,Sampdoria,Italy,2018-06-14
Ivan Perišić,Croatia,4,FW, (1989-02-02),66,18,Inter Milan,Italy,2018-06-14
Vedran Ćorluka,Croatia,5,DF, (1986-02-05),99,4,Lokomotiv Moscow,Russia,2018-06-14
Dejan Lovren,Croatia,6,DF, (1989-07-05),39,2,Liverpool,England,2018-06-14
Ivan Rakitić,Croatia,7,MF, (1988-03-10),92,14,Barcelona,Spain,2018-06-14
Mateo Kovačić,Croatia,8,MF, (1994-05-06),41,1,Real Madrid,Spain,2018-06-14
Andrej Kramarić,Croatia,9,FW, (1991-06-19),31,9,1899 Hoffenheim,Germany,2018-06-14
Luka Modrić (captain),Croatia,10,MF, (1985-09-09),106,12,Real Madrid,Spain,2018-06-14
Marcelo Brozović,Croatia,11,MF, (1992-11-16),35,6,Inter Milan,Italy,2018-06-14
Lovre Kalinić,Croatia,12,GK, (1990-04-03),11,0,Gent,Belgium,2018-06-14
Tin Jedvaj,Croatia,13,DF, (1995-11-28),12,0,Bayer Leverkusen,Germany,2018-06-14
Filip Bradarić,Croatia,14,MF, (1992-01-11),4,0,Rijeka,Croatia,2018-06-14
Duje Ćaleta-Car,Croatia,15,DF, (1996-09-17),1,0,Red Bull Salzburg,Austria,2018-06-14
Nikola Kalinić[note 2],Croatia,16,FW, (1988-01-05),42,15,Milan,Italy,2018-06-14
Mario Mandžukić,Croatia,17,FW, (1986-05-21),83,30,Juventus,Italy,2018-06-14
Ante Rebić,Croatia,18,FW, (1993-09-21),16,1,Eintracht Frankfurt,Germany,2018-06-14
Milan Badelj,Croatia,19,MF, (1989-02-25),38,1,Fiorentina,Italy,2018-06-14
Marko Pjaca,Croatia,20,FW, (1995-05-06),16,1,Schalke 04,Germany,2018-06-14
Domagoj Vida,Croatia,21,DF, (1989-04-29),59,2,Beşiktaş,Turkey,2018-06-14
Josip Pivarić,Croatia,22,DF, (1989-01-30),19,0,Dynamo Kyiv,Ukraine,2018-06-14
Danijel Subašić,Croatia,23,GK, (1984-10-27),38,0,Monaco,France,2018-06-14
