Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Abdoulaye Diallo,Senegal,1,GK, (1992-03-30),17,0,Rennes,France
Adama Mbengue,Senegal,2,DF, (1993-12-01),6,0,Caen,France
Kalidou Koulibaly,Senegal,3,DF, (1991-06-20),26,0,Napoli,Italy
Kara Mbodji,Senegal,4,DF, (1989-11-22),52,5,Anderlecht,Belgium
Idrissa Gueye,Senegal,5,MF, (1989-09-26),61,1,Everton,England
Salif Sané,Senegal,6,MF, (1990-08-25),22,0,Hannover 96,Germany
Moussa Sow,Senegal,7,FW, (1986-01-19),51,18,Bursaspor,Turkey
Cheikhou Kouyaté (captain),Senegal,8,MF, (1989-12-21),48,2,West Ham United,England
Mame Biram Diouf,Senegal,9,FW, (1987-12-16),49,10,Stoke City,England
Sadio Mané,Senegal,10,FW, (1992-04-10),53,14,Liverpool,England
Cheikh N'Doye,Senegal,11,MF, (1986-03-29),26,3,Birmingham City,England
Youssouf Sabaly,Senegal,12,DF, (1993-03-05),5,0,Bordeaux,France
Alfred N'Diaye,Senegal,13,MF, (1990-03-06),21,0,Wolverhampton Wanderers,England
Moussa Konaté,Senegal,14,FW, (1993-04-03),28,10,Amiens,France
Diafra Sakho,Senegal,15,FW, (1989-12-24),12,3,Rennes,France
Khadim N'Diaye,Senegal,16,GK, (1985-04-05),26,0,Horoya,Guinea
Badou Ndiaye,Senegal,17,MF, (1990-10-27),20,1,Stoke City,England
Ismaïla Sarr,Senegal,18,FW, (1998-02-25),16,3,Rennes,France
M'Baye Niang,Senegal,19,FW, (1994-12-19),7,0,Torino,Italy
Keita Baldé,Senegal,20,FW, (1995-03-08),19,3,Monaco,France
Lamine Gassama,Senegal,21,DF, (1989-10-20),36,0,Alanyaspor,Turkey
Moussa Wagué,Senegal,22,DF, (1998-10-04),10,0,Eupen,Belgium
Alfred Gomis,Senegal,23,GK, (1993-09-05),1,0,SPAL,Italy
