Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Rui Patrício,Portugal,1,GK, (1988-02-15),69,0,Sporting CP,Portugal
Bruno Alves,Portugal,2,DF, (1981-11-27),96,11,Rangers,Scotland
Pepe,Portugal,3,DF, (1983-02-26),95,5,Beşiktaş,Turkey
Manuel Fernandes,Portugal,4,MF, (1986-02-05),14,3,Lokomotiv Moscow,Russia
Raphaël Guerreiro,Portugal,5,DF, (1993-12-22),24,2,Borussia Dortmund,Germany
José Fonte,Portugal,6,DF, (1983-12-22),31,0,Dalian Yifang,China
Cristiano Ronaldo (captain),Portugal,7,FW, (1985-02-05),150,81,Real Madrid,Spain
João Moutinho,Portugal,8,MF, (1986-09-08),110,7,Monaco,France
André Silva,Portugal,9,FW, (1995-11-06),23,12,Milan,Italy
João Mário,Portugal,10,MF, (1993-01-19),36,2,West Ham United,England
Bernardo Silva,Portugal,11,MF, (1994-08-10),25,2,Manchester City,England
Anthony Lopes,Portugal,12,GK, (1990-10-01),7,0,Lyon,France
Rúben Dias,Portugal,13,DF, (1997-05-14),1,0,Benfica,Portugal
William Carvalho,Portugal,14,MF, (1992-04-07),43,2,Sporting CP,Portugal
Ricardo Pereira,Portugal,15,DF, (1993-10-06),4,0,Porto,Portugal
Bruno Fernandes,Portugal,16,MF, (1994-09-08),6,1,Sporting CP,Portugal
Gonçalo Guedes,Portugal,17,FW, (1996-11-29),10,3,Valencia,Spain
Gelson Martins,Portugal,18,FW, (1995-05-11),18,0,Sporting CP,Portugal
Mário Rui,Portugal,19,DF, (1991-05-27),4,0,Napoli,Italy
Ricardo Quaresma,Portugal,20,FW, (1983-09-26),77,9,Beşiktaş,Turkey
Cédric,Portugal,21,DF, (1991-08-31),29,1,Southampton,England
Beto,Portugal,22,GK, (1982-05-01),14,0,Göztepe,Turkey
Adrien Silva,Portugal,23,MF, (1989-03-15),23,1,Leicester City,England
