Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Manuel Neuer (captain),Germany,1,GK, (1986-03-27),76,0,Bayern Munich,Germany
Marvin Plattenhardt,Germany,2,DF, (1992-01-26),6,0,Hertha BSC,Germany
Jonas Hector,Germany,3,DF, (1990-05-27),38,3,1. FC Köln,Germany
Matthias Ginter,Germany,4,DF, (1994-01-19),18,0,Borussia Mönchengladbach,Germany
Mats Hummels,Germany,5,DF, (1988-12-16),64,5,Bayern Munich,Germany
Sami Khedira,Germany,6,MF, (1987-04-04),75,7,Juventus,Italy
Julian Draxler,Germany,7,MF, (1993-09-20),44,6,Paris Saint-Germain,France
Toni Kroos,Germany,8,MF, (1990-01-04),83,12,Real Madrid,Spain
Timo Werner,Germany,9,FW, (1996-03-06),14,8,RB Leipzig,Germany
Mesut Özil,Germany,10,MF, (1988-10-15),90,23,Arsenal,England
Marco Reus,Germany,11,FW, (1989-05-31),31,9,Borussia Dortmund,Germany
Kevin Trapp,Germany,12,GK, (1990-07-08),3,0,Paris Saint-Germain,France
Thomas Müller,Germany,13,MF, (1989-09-13),91,38,Bayern Munich,Germany
Leon Goretzka,Germany,14,MF, (1995-02-06),15,6,Schalke 04,Germany
Niklas Süle,Germany,15,DF, (1995-09-03),11,0,Bayern Munich,Germany
Antonio Rüdiger,Germany,16,DF, (1993-03-03),24,1,Chelsea,England
Jérôme Boateng,Germany,17,DF, (1988-09-03),71,1,Bayern Munich,Germany
Joshua Kimmich,Germany,18,DF, (1995-02-08),29,3,Bayern Munich,Germany
Sebastian Rudy,Germany,19,MF, (1990-02-28),25,1,Bayern Munich,Germany
Julian Brandt,Germany,20,MF, (1996-05-02),16,1,Bayer Leverkusen,Germany
İlkay Gündoğan,Germany,21,MF, (1990-10-24),26,4,Manchester City,England
Marc-André ter Stegen,Germany,22,GK, (1992-04-30),20,0,Barcelona,Spain
Mario Gómez,Germany,23,FW, (1985-07-10),75,31,VfB Stuttgart,Germany
