Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Ron Springett,England,1,GK, (1935-07-22),21,,Sheffield Wednesday F.C.,England
Jimmy Armfield,England,2,DF, (1935-09-02),25,,Blackpool F.C.,England
Ray Wilson,England,3,DF, (1934-12-17),11,,Huddersfield Town A.F.C.,England
Bobby Robson,England,4,MF, (1933-02-18),20,,West Bromwich Albion F.C.,England
Peter Swan,England,5,DF, (1936-10-08),19,,Sheffield Wednesday F.C.,England
Ron Flowers,England,6,MF, (1934-07-28),32,,Wolverhampton Wanderers F.C.,England
John Connelly,England,7,MF, (1938-07-18),8,,Burnley F.C.,England
Jimmy Greaves,England,8,FW, (1940-02-20),18,,Tottenham Hotspur F.C.,England
Gerry Hitchens,England,9,FW, (1934-10-08),5,,Internazionale Milan,Italy
Johnny Haynes (captain),England,10,FW, (1934-10-17),52,,Fulham F.C.,England
Bobby Charlton,England,11,FW, (1937-10-11),35,,Manchester United F.C.,England
Alan Hodgkinson,England,12,GK, (1936-08-16),5,,Sheffield United F.C.,England
Derek Kevan*,England,13,FW, (1935-03-06),14,,West Bromwich Albion F.C.,England
Stan Anderson,England,14,MF, (1933-02-27),2,,Sunderland A.F.C.,England
Maurice Norman,England,15,DF, (1934-05-08),1,,Tottenham Hotspur F.C.,England
Bobby Moore,England,16,DF, (1941-04-12),1,,West Ham United F.C.,England
Bryan Douglas,England,17,MF, (1934-05-27),29,,Blackburn Rovers F.C.,England
Roger Hunt,England,18,FW, (1938-07-20),1,,Liverpool F.C.,England
Alan Peacock,England,19,FW, (1937-10-29),0,,Middlesbrough F.C.,England
George Eastham,England,20,MF, (1936-09-23),0,,Arsenal F.C.,England
Don Howe,England,21,DF, (1935-10-12),23,,West Bromwich Albion F.C.,England
Jimmy Adamson*,England,22,MF, (1929-04-04),0,,Burnley F.C.,England
