Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Milutin Šoškić,Yugoslavia,1,GK, (1937-12-31),29,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia
Vladimir Durković,Yugoslavia,2,DF, (1937-11-06),33,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Fahrudin Jusufi,Yugoslavia,3,DF, (1939-12-08),29,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia
Petar Radaković,Yugoslavia,4,MF, (1937-02-22),9,,Rijeka,Socialist Federal Republic of Yugoslavia
Vlatko Marković,Yugoslavia,5,DF, (1937-01-01),7,,Dinamo Zagreb,Socialist Federal Republic of Yugoslavia
Vladica Popović,Yugoslavia,6,DF, (1935-03-17),3,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Andrija Anković,Yugoslavia,7,FW, (1937-07-16),7,,Hajduk Split,Socialist Federal Republic of Yugoslavia
Dragoslav Šekularac,Yugoslavia,8,MF, (1937-11-08),29,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Dražan Jerković,Yugoslavia,9,FW, (1936-08-06),9,,Dinamo Zagreb,Socialist Federal Republic of Yugoslavia
Milan Galić (captain),Yugoslavia,10,MF, (1938-03-08),28,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia
Josip Skoblar,Yugoslavia,11,FW, (1941-03-12),2,,OFK Belgrade,Socialist Federal Republic of Yugoslavia
Srboljub Krivokuća,Yugoslavia,12,GK, (1928-03-14),7,,OFK Belgrade,Socialist Federal Republic of Yugoslavia
Slavko Svinjarević,Yugoslavia,13,DF, (1935-04-16),1,,Vojvodina Novi Sad,Socialist Federal Republic of Yugoslavia
Vasilije Šijaković,Yugoslavia,14,DF, (1929-07-31),10,,OFK Belgrade,Socialist Federal Republic of Yugoslavia
Željko Matuš,Yugoslavia,15,MF, (1935-08-09),9,,Dinamo Zagreb,Socialist Federal Republic of Yugoslavia
Muhamed Mujić,Yugoslavia,16,FW, (1933-04-25),31,,Velež Mostar,Socialist Federal Republic of Yugoslavia
Vojislav Melić,Yugoslavia,17,MF, (1940-01-05),0,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Vladica Kovačević,Yugoslavia,18,MF, (1940-01-07),4,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia
Mirko Stojanović,Yugoslavia,19,GK, (1939-06-11),2,,Dinamo Zagreb,Socialist Federal Republic of Yugoslavia
Žarko Nikolić,Yugoslavia,20,DF, (1938-10-16),9,,Vojvodina Novi Sad,Socialist Federal Republic of Yugoslavia
Nikola Stipić,Yugoslavia,21,FW, (1937-12-18),0,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Aleksandar Ivoš,Yugoslavia,22,MF, (1931-06-28),0,,Sloboda Tuzla,Socialist Federal Republic of Yugoslavia
