Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Gyula Grosics (captain),Hungary,1,GK, (1926-02-04),81,,Tatabányai Bányász,Hungary,1962-05-30
Sándor Mátrai,Hungary,2,DF, (1932-11-20),41,,Ferencvárosi TC,Hungary,1962-05-30
Kálmán Mészöly,Hungary,3,DF, (1941-07-16),4,,Vasas SC,Hungary,1962-05-30
László Sárosi,Hungary,4,DF, (1932-02-27),25,,Vasas SC,Hungary,1962-05-30
Ernő Solymosi,Hungary,5,DF, (1940-09-21),16,,Újpesti Dózsa SC,Hungary,1962-05-30
Ferenc Sipos,Hungary,6,MF, (1932-12-13),44,,MTK,Hungary,1962-05-30
Károly Sándor,Hungary,7,FW, (1928-11-29),58,,MTK,Hungary,1962-05-30
János Göröcs,Hungary,8,FW, (1939-05-08),32,,Újpesti Dozsa SC,Hungary,1962-05-30
Flórián Albert,Hungary,9,FW, (1941-09-15),23,,Ferencvárosi TC,Hungary,1962-05-30
Lajos Tichy,Hungary,10,MF, (1935-03-21),53,,Budapest Honvéd FC,Hungary,1962-05-30
Máté Fenyvesi,Hungary,11,FW, (1933-09-20),42,,Ferencvárosi TC,Hungary,1962-05-30
Kálmán Sóvári,Hungary,12,DF, (1940-12-21),7,,Újpesti Dózsa SC,Hungary,1962-05-30
Kálmán Ihász,Hungary,13,DF, (1941-03-06),0,,Vasas SC,Hungary,1962-05-30
István Nagy,Hungary,14,MF, (1939-04-14),1,,MTK,Hungary,1962-05-30
János Mencel,Hungary,15,MF, (1941-12-14),0,,Salgótarjáni BTC,Hungary,1962-05-30
János Farkas,Hungary,16,FW, (1942-03-27),4,,Vasas SC,Hungary,1962-05-30
Gyula Rákosi,Hungary,17,FW, (1938-10-09),3,,Ferencvárosi TC,Hungary,1962-05-30
Tivadar Monostori,Hungary,18,FW, (1936-08-24),5,,Dorogi AC,Hungary,1962-05-30
Béla Kuharszki,Hungary,19,FW, (1940-04-20),5,,Újpesti Dózsa SC,Hungary,1962-05-30
László Bödör,Hungary,20,FW, (1933-08-17),1,,MTK,Hungary,1962-05-30
Antal Szentmihályi,Hungary,21,GK, (1937-06-03),1,,Vasas SC,Hungary,1962-05-30
István Ilku,Hungary,22,GK, (1933-03-06),6,,Dorogi AC,Hungary,1962-05-30
