Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Mathew Ryan (captain),Australia,1,GK, (1992-04-08),75,0,Copenhagen,Denmark,2022-11-20
Miloš Degenek,Australia,2,DF, (1994-04-28),38,1,Columbus Crew,United States,2022-11-20
Nathaniel Atkinson,Australia,3,DF, (1999-06-13),5,0,Heart of Midlothian,Scotland,2022-11-20
Kye Rowles,Australia,4,DF, (1998-06-24),3,0,Heart of Midlothian,Scotland,2022-11-20
Fran Karačić,Australia,5,DF, (1996-05-12),11,1,Brescia,Italy,2022-11-20
Marco Tilio,Australia,6,FW, (2001-08-23),5,0,Melbourne City,Australia,2022-11-20
Mathew Leckie,Australia,7,FW, (1991-02-04),73,13,Melbourne City,Australia,2022-11-20
Bailey Wright,Australia,8,DF, (1992-07-28),27,2,Sunderland,England,2022-11-20
Jamie Maclaren,Australia,9,FW, (1993-07-29),26,8,Melbourne City,Australia,2022-11-20
Ajdin Hrustic,Australia,10,MF, (1996-07-05),20,3,Hellas Verona,Italy,2022-11-20
Awer Mabil,Australia,11,FW, (1995-09-15),29,8,Cádiz,Spain,2022-11-20
Andrew Redmayne,Australia,12,GK, (1989-01-13),4,0,Sydney FC,Australia,2022-11-20
Aaron Mooy,Australia,13,MF, (1990-09-15),53,7,Celtic,Scotland,2022-11-20
Riley McGree,Australia,14,MF, (1998-11-02),11,1,Middlesbrough,England,2022-11-20
Mitchell Duke,Australia,15,FW, (1991-01-18),21,8,Fagiano Okayama,Japan,2022-11-20
Aziz Behich,Australia,16,DF, (1990-12-16),53,2,Dundee United,Scotland,2022-11-20
Cameron Devlin,Australia,17,MF, (1998-06-07),1,0,Heart of Midlothian,Scotland,2022-11-20
Danny Vukovic,Australia,18,GK, (1985-03-27),4,0,Central Coast Mariners,Australia,2022-11-20
Harry Souttar,Australia,19,DF, (1998-10-22),10,6,Stoke City,England,2022-11-20
Thomas Deng,Australia,20,DF, (1997-03-20),2,0,Albirex Niigata,Japan,2022-11-20
Garang Kuol,Australia,21,FW, (2004-09-15),1,0,Central Coast Mariners,Australia,2022-11-20
Jackson Irvine,Australia,22,MF, (1993-03-07),49,7,FC St. Pauli,Germany,2022-11-20
Craig Goodwin,Australia,23,FW, (1991-12-16),10,1,Adelaide United,Australia,2022-11-20
Joel King,Australia,24,DF, (2000-10-30),4,0,OB,Denmark,2022-11-20
Jason Cummings,Australia,25,FW, (1995-08-01),1,1,Central Coast Mariners,Australia,2022-11-20
Keanu Baccus,Australia,26,MF, (1998-06-07),1,0,St Mirren,Scotland,2022-11-20
