Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Dayne St. Clair,Canada,1,GK, (1997-05-09),2,0,Minnesota United FC,United States,2022-11-20
Alistair Johnston,Canada,2,DF, (1998-10-08),30,1,CF Montréal,Canada,2022-11-20
Sam Adekugbe,Canada,3,DF, (1995-01-16),34,1,Hatayspor,Turkey,2022-11-20
Kamal Miller,Canada,4,DF, (1997-05-16),29,0,CF Montréal,Canada,2022-11-20
Steven Vitória,Canada,5,DF, (1987-01-11),35,4,Chaves,Portugal,2022-11-20
Samuel Piette,Canada,6,MF, (1994-11-12),66,0,CF Montréal,Canada,2022-11-20
Stephen Eustáquio,Canada,7,MF, (1996-12-21),26,3,Porto,Portugal,2022-11-20
Liam Fraser,Canada,8,MF, (1998-02-13),15,0,Deinze,Belgium,2022-11-20
Lucas Cavallini,Canada,9,FW, (1992-12-28),34,18,Vancouver Whitecaps FC,Canada,2022-11-20
Junior Hoilett,Canada,10,MF, (1990-06-05),50,14,Reading,England,2022-11-20
Tajon Buchanan,Canada,11,FW, (1999-02-08),26,4,Club Brugge,Belgium,2022-11-20
Iké Ugbo,Canada,12,FW, (1998-09-21),8,0,Troyes,France,2022-11-20
Atiba Hutchinson (captain),Canada,13,MF, (1983-02-08),98,9,Beşiktaş,Turkey,2022-11-20
Mark-Anthony Kaye,Canada,14,MF, (1994-12-02),38,2,Toronto FC,Canada,2022-11-20
Ismaël Koné,Canada,15,MF, (2002-06-16),6,1,CF Montréal,Canada,2022-11-20
James Pantemis,Canada,16,GK, (1997-02-21),0,0,CF Montréal,Canada,2022-11-20
Cyle Larin,Canada,17,FW, (1995-04-17),55,25,Club Brugge,Belgium,2022-11-20
Milan Borjan,Canada,18,GK, (1987-10-23),68,0,Red Star Belgrade,Serbia,2022-11-20
Alphonso Davies,Canada,19,FW, (2000-11-02),34,12,Bayern Munich,Germany,2022-11-20
Jonathan David,Canada,20,FW, (2000-01-14),35,22,Lille,France,2022-11-20
Jonathan Osorio,Canada,21,MF, (1992-06-12),57,7,Toronto FC,Canada,2022-11-20
Richie Laryea,Canada,22,DF, (1995-01-07),34,1,Toronto FC,Canada,2022-11-20
Liam Millar,Canada,23,MF, (1999-09-27),16,0,Basel,Switzerland,2022-11-20
David Wotherspoon,Canada,24,MF, (1990-01-16),10,1,St Johnstone,Scotland,2022-11-20
Derek Cornelius,Canada,25,DF, (1997-11-25),14,0,Panetolikos,Greece,2022-11-20
Joel Waterman,Canada,26,DF, (1996-01-24),2,0,CF Montréal,Canada,2022-11-20
