Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Marko Dmitrović,Serbia,1,GK, (1992-01-24),19,0,Sevilla,Spain
Strahinja Pavlović,Serbia,2,DF, (2001-05-24),22,1,Red Bull Salzburg,Austria
Strahinja Eraković,Serbia,3,DF, (2001-01-22),2,0,Red Star Belgrade,Serbia
Nikola Milenković,Serbia,4,DF, (1997-10-12),39,3,Fiorentina,Italy
Miloš Veljković,Serbia,5,DF, (1995-09-26),21,0,Werder Bremen,Germany
Nemanja Maksimović,Serbia,6,MF, (1995-01-26),40,0,Getafe,Spain
Nemanja Radonjić,Serbia,7,FW, (1996-02-15),36,5,Torino,Italy
Nemanja Gudelj,Serbia,8,MF, (1991-11-16),49,1,Sevilla,Spain
Aleksandar Mitrović,Serbia,9,FW, (1994-09-16),76,50,Fulham,England
Dušan Tadić (captain),Serbia,10,FW, (1988-11-20),91,20,Ajax,Netherlands
Luka Jović,Serbia,11,FW, (1997-12-23),29,10,Fiorentina,Italy
Predrag Rajković,Serbia,12,GK, (1995-10-31),28,0,Mallorca,Spain
Stefan Mitrović,Serbia,13,DF, (1990-05-22),35,0,Getafe,Spain
Andrija Živković,Serbia,14,MF, (1996-07-11),29,1,PAOK,Greece
Srđan Babić,Serbia,15,DF, (1996-04-22),2,0,Almería,Spain
Saša Lukić,Serbia,16,MF, (1996-08-13),32,2,Torino,Italy
Filip Kostić,Serbia,17,MF, (1992-11-01),50,3,Juventus,Italy
Dušan Vlahović,Serbia,18,FW, (2000-01-28),17,9,Juventus,Italy
Uroš Račić,Serbia,19,MF, (1998-03-17),9,0,Braga,Portugal
Sergej Milinković-Savić,Serbia,20,MF, (1995-02-27),36,6,Lazio,Italy
Filip Đuričić,Serbia,21,FW, (1992-01-30),37,5,Sampdoria,Italy
Darko Lazović,Serbia,22,MF, (1990-09-15),26,1,Hellas Verona,Italy
Vanja Milinković-Savić,Serbia,23,GK, (1997-02-20),7,0,Torino,Italy
Ivan Ilić,Serbia,24,MF, (2001-03-17),6,0,Hellas Verona,Italy
Filip Mladenović,Serbia,25,DF, (1991-08-15),20,1,Legia Warsaw,Poland
Marko Grujić,Serbia,26,MF, (1996-04-13),18,0,Porto,Portugal
