Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Thomas Sørensen,Denmark,1,GK, (1976-06-12),14,,Sunderland,England
Stig Tøfting,Denmark,2,MF, (1969-08-14),36,,Bolton Wanderers,England
René Henriksen,Denmark,3,DF, (1969-08-27),39,,Panathinaikos,Greece
Martin Laursen,Denmark,4,DF, (1977-07-26),15,,Milan,Italy
Jan Heintze (c),Denmark,5,DF, (1963-08-17),83,,PSV Eindhoven,Netherlands
Thomas Helveg,Denmark,6,DF, (1971-06-24),67,,Milan,Italy
Thomas Gravesen,Denmark,7,MF, (1976-03-11),22,,Everton,England
Jesper Grønkjær,Denmark,8,MF, (1977-08-12),25,,Chelsea,England
Jon Dahl Tomasson,Denmark,9,FW, (1976-08-29),38,,Feyenoord,Netherlands
Martin Jørgensen,Denmark,10,MF, (1975-10-06),32,,Udinese,Italy
Ebbe Sand,Denmark,11,FW, (1972-07-19),44,,Schalke 04,Germany
Niclas Jensen,Denmark,12,DF, (1974-08-17),8,,Manchester City,England
Steven Lustü,Denmark,13,DF, (1971-04-13),4,,Lyn,Norway
Claus Jensen,Denmark,14,MF, (1977-04-29),13,,Charlton Athletic,England
Jan Michaelsen,Denmark,15,MF, (1970-11-28),11,,Panathinaikos,Greece
Peter Kjær,Denmark,16,GK, (1965-11-05),4,,Aberdeen,Scotland
Christian Poulsen,Denmark,17,MF, (1980-02-28),3,,Copenhagen,Denmark
Peter Løvenkrands,Denmark,18,FW, (1980-01-29),4,,Rangers,Scotland
Dennis Rommedahl,Denmark,19,MF, (1978-07-22),19,,PSV Eindhoven,Netherlands
Kasper Bøgelund,Denmark,20,DF, (1980-10-08),2,,PSV Eindhoven,Netherlands
Peter Madsen,Denmark,21,FW, (1978-04-26),4,,Brøndby,Denmark
Jesper Christiansen,Denmark,22,GK, (1978-04-24),0,,Vejle,Denmark
Brian Steen Nielsen,Denmark,23,MF, (1968-12-28),65,,Malmö FF,Sweden
