Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Marko Simeunovič,Slovenia,1,GK, (1967-12-06),43,,Maribor,Slovenia
Goran Sankovič,Slovenia,2,DF, (1979-06-18),5,,Slavia Prague,Czech Republic
Željko Milinovič,Slovenia,3,DF, (1969-10-12),35,,JEF United Ichihara,Japan
Muamer Vugdalić,Slovenia,4,DF, (1977-08-25),13,,Maribor,Slovenia
Marinko Galič,Slovenia,5,DF, (1970-04-22),65,,Koper,Slovenia
Aleksander Knavs,Slovenia,6,DF, (1975-12-05),38,,1. FC Kaiserslautern,Germany
Džoni Novak,Slovenia,7,MF, (1969-09-04),68,,SpVgg Unterhaching,Germany
Aleš Čeh (c),Slovenia,8,MF, (1968-04-07),71,,Grazer AK,Austria
Milan Osterc,Slovenia,9,FW, (1975-07-04),41,,Hapoel Tel Aviv,Israel
Zlatko Zahovič*,Slovenia,10,MF, (1971-02-01),64,,Benfica,Portugal
Miran Pavlin,Slovenia,11,MF, (1971-10-08),45,,Porto,Portugal
Mladen Dabanovič,Slovenia,12,GK, (1971-09-13),20,,Lokeren SNW,Belgium
Mladen Rudonja,Slovenia,13,FW, (1971-07-26),58,,Portsmouth,England
Saša Gajser,Slovenia,14,DF, (1974-02-11),20,,Gent,Belgium
Rajko Tavčar,Slovenia,15,MF, (1974-07-21),6,,1. FC Nürnberg,Germany
Senad Tiganj,Slovenia,16,FW, (1975-08-28),3,,Olimpija Ljubljana,Slovenia
Zoran Pavlović,Slovenia,17,MF, (1976-06-27),21,,Austria Wien,Austria
Milenko Ačimovič,Slovenia,18,FW, (1977-02-15),39,,Red Star Belgrade,Federal Republic of Yugoslavia
Amir Karić,Slovenia,19,DF, (1973-12-31),43,,Maribor,Slovenia
Nastja Čeh,Slovenia,20,MF, (1978-01-26),6,,Club Brugge,Belgium
Sebastjan Cimirotič,Slovenia,21,FW, (1974-09-14),12,,Lecce,Italy
Dejan Nemec,Slovenia,22,GK, (1977-03-01),1,,Club Brugge,Belgium
Spasoje Bulajič,Slovenia,23,DF, (1975-11-24),15,,1. FC Köln,Germany
