Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Marcos,Brazil,1,GK, (1973-08-04),15,,Palmeiras,Brazil,2002-05-31
Cafu (c),Brazil,2,DF, (1970-06-07),103,,Roma,Italy,2002-05-31
Lúcio,Brazil,3,DF, (1978-05-08),15,,Bayer Leverkusen,Germany,2002-05-31
Roque Júnior,Brazil,4,DF, (1976-08-31),17,,Milan,Italy,2002-05-31
Edmílson,Brazil,5,DF, (1976-07-10),12,,Lyon,France,2002-05-31
Roberto Carlos,Brazil,6,DF, (1973-04-10),84,,Real Madrid,Spain,2002-05-31
Ricardinho,Brazil,7,MF, (1976-05-23),3,,Corinthians,Brazil,2002-05-31
Gilberto Silva,Brazil,8,MF, (1976-10-07),6,,Atlético Mineiro,Brazil,2002-05-31
Ronaldo,Brazil,9,FW, (1976-09-18),56,,Inter Milan,Italy,2002-05-31
Rivaldo,Brazil,10,MF, (1972-04-19),58,,Barcelona,Spain,2002-05-31
Ronaldinho,Brazil,11,MF, (1980-03-21),24,,Paris Saint-Germain,France,2002-05-31
Dida,Brazil,12,GK, (1973-10-07),49,,Corinthians,Brazil,2002-05-31
Juliano Belletti,Brazil,13,DF, (1976-06-20),10,,São Paulo,Brazil,2002-05-31
Ânderson Polga,Brazil,14,DF, (1979-02-09),5,,Grêmio,Brazil,2002-05-31
Kléberson,Brazil,15,MF, (1979-06-19),5,,Atlético Paranaense,Brazil,2002-05-31
Júnior,Brazil,16,DF, (1973-06-20),12,,Parma,Italy,2002-05-31
Denílson,Brazil,17,FW, (1977-08-24),53,,Real Betis,Spain,2002-05-31
Vampeta,Brazil,18,MF, (1974-03-13),36,,Corinthians,Brazil,2002-05-31
Juninho Paulista,Brazil,19,MF, (1973-02-22),43,,Flamengo,Brazil,2002-05-31
Edílson,Brazil,20,FW, (1971-09-17),17,,Cruzeiro,Brazil,2002-05-31
Luizão,Brazil,21,FW, (1975-11-14),8,,Grêmio,Brazil,2002-05-31
Rogério Ceni,Brazil,22,GK, (1973-01-22),12,,São Paulo,Brazil,2002-05-31
Kaká,Brazil,23,MF, (1982-04-22),2,,São Paulo,Brazil,2002-05-31
