Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Andrzej Fischer,Poland,1,GK, (1952-01-15),1,,Górnik Zabrze,Poland
Jan Tomaszewski,Poland,2,GK, (1948-01-09),14,,ŁKS Łódź,Poland
Zygmunt Kalinowski,Poland,3,GK, (1949-05-02),4,,Śląsk Wrocław,Poland
Antoni Szymanowski,Poland,4,DF, (1951-01-13),28,,Wisła Kraków,Poland
Zbigniew Gut,Poland,5,DF, (1949-04-17),9,,Odra Opole,Poland
Jerzy Gorgoń,Poland,6,DF, (1949-07-18),31,,Górnik Zabrze,Poland
Henryk Wieczorek,Poland,7,MF, (1949-12-14),3,,Górnik Zabrze,Poland
Mirosław Bulzacki,Poland,8,DF, (1951-10-23),16,,ŁKS Łódź,Poland
Władysław Żmuda,Poland,9,DF, (1954-06-06),2,,Gwardia Warszawa,Poland
Adam Musiał,Poland,10,DF, (1948-12-18),25,,Wisła Kraków,Poland
Lesław Ćmikiewicz,Poland,11,MF, (1948-08-25),32,,Legia Warsaw,Poland
Kazimierz Deyna (c),Poland,12,MF, (1947-10-23),49,,Legia Warsaw,Poland
Henryk Kasperczak,Poland,13,MF, (1946-07-10),17,,Stal Mielec,Poland
Zygmunt Maszczyk,Poland,14,MF, (1945-05-03),16,,Ruch Chorzów,Poland
Roman Jakóbczak,Poland,15,FW, (1946-02-26),1,,Lech Poznań,Poland
Grzegorz Lato,Poland,16,FW, (1950-04-08),13,,Stal Mielec,Poland
Andrzej Szarmach,Poland,17,FW, (1950-10-03),6,,Górnik Zabrze,Poland
Robert Gadocha,Poland,18,FW, (1946-01-10),49,,Legia Warsaw,Poland
Jan Domarski,Poland,19,FW, (1946-10-28),13,,Stal Mielec,Poland
Zdzisław Kapka,Poland,20,FW, (1954-12-07),2,,Wisła Kraków,Poland
Kazimierz Kmiecik,Poland,21,FW, (1951-09-19),9,,Wisła Kraków,Poland
Marek Kusto,Poland,22,FW, (1954-04-29),1,,Wisła Kraków,Poland
