Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Roberto Abbondanzieri,Argentina,1,GK, (1972-08-19),22,,Boca Juniors[26],Argentina,2006-06-09
Roberto Ayala,Argentina,2,DF, (1973-04-14),100,,Valencia,Spain,2006-06-09
Juan Pablo Sorín (c),Argentina,3,DF, (1976-05-05),71,,Villarreal,Spain,2006-06-09
Fabricio Coloccini,Argentina,4,DF, (1982-01-22),23,,Deportivo La Coruña,Spain,2006-06-09
Esteban Cambiasso,Argentina,5,MF, (1980-08-18),22,,Inter Milan,Italy,2006-06-09
Gabriel Heinze,Argentina,6,DF, (1978-04-19),29,,Manchester United,England,2006-06-09
Javier Saviola,Argentina,7,FW, (1981-12-11),31,,Barcelona[27],Spain,2006-06-09
Javier Mascherano,Argentina,8,MF, (1984-06-08),15,,Corinthians,Brazil,2006-06-09
Hernán Crespo,Argentina,9,FW, (1975-07-05),55,,Chelsea,England,2006-06-09
Juan Román Riquelme,Argentina,10,MF, (1978-06-24),31,,Villarreal,Spain,2006-06-09
Carlos Tevez,Argentina,11,FW, (1984-02-05),21,,Corinthians,Brazil,2006-06-09
Leo Franco,Argentina,12,GK, (1977-05-29),3,,Atlético Madrid,Spain,2006-06-09
Lionel Scaloni,Argentina,13,DF, (1978-05-16),6,,Deportivo La Coruña[28],Spain,2006-06-09
Rodrigo Palacio,Argentina,14,FW, (1982-02-05),2,,Boca Juniors,Argentina,2006-06-09
Gabriel Milito,Argentina,15,DF, (1980-09-07),15,,Zaragoza,Spain,2006-06-09
Pablo Aimar,Argentina,16,MF, (1979-11-03),40,,Valencia,Spain,2006-06-09
Leandro Cufré,Argentina,17,DF, (1978-05-09),2,,Roma,Italy,2006-06-09
Maxi Rodríguez,Argentina,18,MF, (1981-01-02),13,,Atlético Madrid,Spain,2006-06-09
Lionel Messi,Argentina,19,FW, (1987-06-24),7,,Barcelona,Spain,2006-06-09
Julio Cruz,Argentina,20,FW, (1974-10-10),15,,Inter Milan,Italy,2006-06-09
Nicolás Burdisso,Argentina,21,DF, (1981-04-12),8,,Inter Milan,Italy,2006-06-09
Lucho González,Argentina,22,MF, (1981-01-19),27,,Porto,Portugal,2006-06-09
Óscar Ustari,Argentina,23,GK, (1986-07-03),0,,Independiente,Argentina,2006-06-09
