Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Mohamed Al-Deayea,Saudi Arabia,1,GK, (1972-08-02),175,,Al Hilal,Saudi Arabia
Ahmed Al-Dokhi,Saudi Arabia,2,DF, (1976-10-25),68,,Al-Ittihad,Saudi Arabia
Redha Tukar,Saudi Arabia,3,DF, (1975-11-29),37,,Al-Ittihad,Saudi Arabia
Hamad Al-Montashari,Saudi Arabia,4,DF, (1982-06-22),32,,Al-Ittihad,Saudi Arabia
Naif Al-Qadi,Saudi Arabia,5,DF, (1979-04-03),28,,Al-Ahli,Saudi Arabia
Omar Al-Ghamdi,Saudi Arabia,6,MF, (1979-04-11),38,,Al Hilal,Saudi Arabia
Mohammed Ameen,Saudi Arabia,7,MF, (1980-04-29),16,,Al-Ittihad,Saudi Arabia
Mohammed Noor,Saudi Arabia,8,MF, (1978-02-26),63,,Al-Ittihad,Saudi Arabia
Sami Al-Jaber,Saudi Arabia,9,FW, (1972-12-11),160,,Al Hilal,Saudi Arabia
Mohammad Al-Shalhoub,Saudi Arabia,10,MF, (1980-12-08),48,,Al Hilal,Saudi Arabia
Saad Al-Harthi,Saudi Arabia,11,FW, (1984-02-03),15,,Al Nassr,Saudi Arabia
Abdulaziz Al-Khathran,Saudi Arabia,12,DF, (1973-07-31),19,,Al Hilal,Saudi Arabia
Hussein Abdulghani (c),Saudi Arabia,13,DF, (1977-01-21),97,,Al-Ahli,Saudi Arabia
Saud Kariri,Saudi Arabia,14,MF, (1980-07-08),34,,Al-Ittihad,Saudi Arabia
Ahmed Al-Bahri,Saudi Arabia,15,DF, (1980-09-18),11,,Al Ettifaq,Saudi Arabia
Khaled Aziz,Saudi Arabia,16,MF, (1981-07-14),14,,Al Hilal,Saudi Arabia
Mohamed Eid,Saudi Arabia,17,DF, (1987-05-03),0,,Al-Ahli,Saudi Arabia
Nawaf Al-Temyat,Saudi Arabia,18,MF, (1976-06-28),56,,Al Hilal,Saudi Arabia
Mohammad Massad,Saudi Arabia,19,DF, (1983-02-17),5,,Al-Ahli,Saudi Arabia
Yasser Al-Qahtani,Saudi Arabia,20,FW, (1982-10-10),45,,Al Hilal,Saudi Arabia
Mabrouk Zaid,Saudi Arabia,21,GK, (1979-02-11),33,,Al-Ittihad,Saudi Arabia
Mohammad Khouja,Saudi Arabia,22,GK, (1982-03-15),8,,Al Shabab,Saudi Arabia
Malek Mouath,Saudi Arabia,23,FW, (1981-08-10),5,,Al-Ahli,Saudi Arabia
