Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Tim Howard,United States,1,GK, (1979-03-06),16,,Manchester United[53],England
Chris Albright,United States,2,DF, (1979-01-14),20,,LA Galaxy[54],United States
Carlos Bocanegra,United States,3,DF, (1979-05-25),40,,Fulham,England
Pablo Mastroeni,United States,4,MF, (1976-08-26),48,,Colorado Rapids,United States
John O'Brien,United States,5,MF, (1977-08-29),31,,Chivas USA,United States
Steve Cherundolo,United States,6,DF, (1979-02-19),35,,Hannover 96,Germany
Eddie Lewis,United States,7,MF, (1974-05-17),69,,Leeds United,England
Clint Dempsey,United States,8,MF, (1983-03-09),21,,New England Revolution,United States
Eddie Johnson,United States,9,FW, (1984-03-31),18,,Kansas City Wizards,United States
Claudio Reyna (c),United States,10,MF, (1973-07-20),109,,Manchester City,England
Brian Ching,United States,11,FW, (1978-05-24),20,,Houston Dynamo,United States
Gregg Berhalter,United States,12,DF, (1973-08-01),44,,Energie Cottbus[55],Germany
Jimmy Conrad,United States,13,DF, (1977-02-12),15,,Kansas City Wizards,United States
Ben Olsen,United States,14,MF, (1977-05-03),34,,D.C. United,United States
Bobby Convey,United States,15,MF, (1983-05-27),39,,Reading,England
Josh Wolff,United States,16,FW, (1977-02-25),47,,Kansas City Wizards,United States
DaMarcus Beasley,United States,17,MF, (1982-05-24),58,,PSV Eindhoven,Netherlands
Kasey Keller,United States,18,GK, (1969-11-29),93,,Borussia Mönchengladbach,Germany
Marcus Hahnemann,United States,19,GK, (1972-06-15),6,,Reading,England
Brian McBride,United States,20,FW, (1972-06-19),92,,Fulham,England
Landon Donovan,United States,21,FW, (1982-03-04),81,,LA Galaxy,United States
Oguchi Onyewu,United States,22,DF, (1982-05-13),14,,Standard Liège,Belgium
Eddie Pope,United States,23,DF, (1973-12-24),80,,Real Salt Lake,United States
