Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Jens Lehmann,Germany,1,GK, (1969-11-10),32,,Arsenal,England
Marcell Jansen,Germany,2,DF, (1985-11-04),7,,Borussia Mönchengladbach,Germany
Arne Friedrich,Germany,3,DF, (1979-05-29),36,,Hertha BSC,Germany
Robert Huth,Germany,4,DF, (1984-08-18),16,,Chelsea,England
Sebastian Kehl,Germany,5,MF, (1980-02-13),27,,Borussia Dortmund,Germany
Jens Nowotny,Germany,6,DF, (1974-01-11),46,,Bayer Leverkusen,Germany
Bastian Schweinsteiger,Germany,7,MF, (1984-08-01),28,,Bayern Munich,Germany
Torsten Frings,Germany,8,MF, (1976-11-22),52,,Werder Bremen,Germany
Mike Hanke,Germany,9,FW, (1983-11-05),6,,VfL Wolfsburg,Germany
Oliver Neuville,Germany,10,FW, (1973-05-01),55,,Borussia Mönchengladbach,Germany
Miroslav Klose,Germany,11,FW, (1978-06-09),55,,Werder Bremen,Germany
Oliver Kahn,Germany,12,GK, (1969-06-15),85,,Bayern Munich,Germany
Michael Ballack (c),Germany,13,MF, (1976-09-26),65,,Bayern Munich[6],Germany
Gerald Asamoah,Germany,14,FW, (1978-10-03),40,,Schalke 04,Germany
Thomas Hitzlsperger,Germany,15,MF, (1982-04-05),15,,VfB Stuttgart,Germany
Philipp Lahm,Germany,16,DF, (1983-11-11),18,,Bayern Munich,Germany
Per Mertesacker,Germany,17,DF, (1984-09-29),23,,Hannover 96,Germany
Tim Borowski,Germany,18,MF, (1980-05-02),20,,Werder Bremen,Germany
Bernd Schneider,Germany,19,MF, (1973-11-17),64,,Bayer Leverkusen,Germany
Lukas Podolski,Germany,20,FW, (1985-06-04),25,,1. FC Köln[7],Germany
Christoph Metzelder,Germany,21,DF, (1980-11-05),22,,Borussia Dortmund,Germany
David Odonkor,Germany,22,MF, (1984-02-21),1,,Borussia Dortmund,Germany
Timo Hildebrand,Germany,23,GK, (1979-04-05),3,,VfB Stuttgart,Germany
