Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Abdelkader El Brazi,Morocco,1,GK, (1964-11-05),37,,FAR Rabat,Morocco
Abdelilah Saber,Morocco,2,DF, (1974-04-21),25,,Sporting CP,Portugal
Abdelkrim El Hadrioui,Morocco,3,DF, (1972-03-06),59,,Benfica,Portugal
Youssef Rossi,Morocco,4,DF, (1973-06-28),20,,Rennes,France
Smahi Triki,Morocco,5,DF, (1967-08-01),16,,Lausanne,Switzerland
Noureddine Naybet (captain),Morocco,6,DF, (1970-02-10),91,,Deportivo La Coruña,Spain
Mustapha Hadji,Morocco,7,MF, (1971-11-16),42,,Deportivo La Coruña,Spain
Saïd Chiba,Morocco,8,MF, (1970-09-18),23,,Compostela,Spain
Abdeljalil Hadda,Morocco,9,FW, (1972-03-21),11,,Club Africain,Tunisia
Abderrahim Ouakili,Morocco,10,FW, (1970-12-11),8,,1860 Munich,Germany
Ali Elkhattabi,Morocco,11,MF, (1977-01-17),6,,Heerenveen,Netherlands
Driss Benzekri,Morocco,12,GK, (1970-12-31),6,,RS Settat,Morocco
Rachid Neqrouz,Morocco,13,DF, (1972-04-10),13,,Bari,Italy
Salaheddine Bassir,Morocco,14,FW, (1972-09-05),26,,Deportivo La Coruña,Spain
Lahcen Abrami,Morocco,15,DF, (1969-12-31),41,,Wydad Casablanca,Morocco
Rachid Azzouzi,Morocco,16,MF, (1971-01-10),35,,Greuther Fürth,Germany
Gharib Amzine,Morocco,17,MF, (1973-05-03),2,,Mulhouse,France
Youssef Chippo,Morocco,18,MF, (1973-05-10),20,,Porto,Portugal
Jamal Sellami,Morocco,19,DF, (1970-10-06),0,,Raja Casablanca,Morocco
Tahar El Khalej,Morocco,20,DF, (1968-06-16),54,,Benfica,Portugal
Rachid Rokki,Morocco,21,FW, (1974-11-08),2,,Chabab Mohammédia,Morocco
Mustapha Chadili,Morocco,22,GK, (1973-02-14),0,,Raja Casablanca,Morocco
