Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Tommy Younger (captain),Scotland,1,GK, (1930-04-10),22,,Liverpool,England
Bill Brown,Scotland,2,GK, (1931-10-08),0,,Dundee,Scotland
Alex Parker,Scotland,3,DF, (1935-08-02),14,,Everton,England
Eric Caldow,Scotland,4,DF, (1934-05-14),10,,Rangers,Scotland
John Hewie,Scotland,5,DF, (1927-12-13),12,,Charlton Athletic,England
Harry Haddock,Scotland,6,DF, (1925-07-26),6,,Clyde,Scotland
Ian McColl,Scotland,7,DF, (1927-06-07),14,,Rangers,Scotland
Eddie Turnbull,Scotland,8,MF, (1923-04-12),6,,Hibernian,Scotland
Bobby Evans,Scotland,9,DF, (1927-07-16),34,,Celtic,Scotland
Tommy Docherty,Scotland,10,MF, (1928-04-24),22,,Preston North End,England
Dave Mackay,Scotland,11,MF, (1934-11-14),1,,Heart of Midlothian,Scotland
Doug Cowie,Scotland,12,MF, (1926-05-01),18,,Dundee,Scotland
Sammy Baird,Scotland,13,FW, (1930-05-13),6,,Rangers,Scotland
Graham Leggat,Scotland,14,FW, (1934-06-20),5,,Aberdeen,Scotland
Alex Scott,Scotland,15,FW, (1936-11-22),5,,Rangers,Scotland
Jimmy Murray,Scotland,16,FW, (1933-02-04),3,,Heart of Midlothian,Scotland
Jackie Mudie,Scotland,17,FW, (1930-04-10),14,,Blackpool,England
John Coyle,Scotland,18,FW, (1932-09-28),0,,Clyde,Scotland
Bobby Collins,Scotland,19,FW, (1931-02-16),19,,Celtic,Scotland
Archie Robertson,Scotland,20,FW, (1929-09-15),4,,Clyde,Scotland
Stewart Imlach,Scotland,21,FW, (1932-01-06),2,,Nottingham Forest,England
Willie Fernie,Scotland,22,FW, (1928-11-22),11,,Celtic,Scotland
