Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Jean-Marie Pfaff,Belgium,1,GK, (1953-12-04),51,,Bayern Munich,West Germany,1986-05-31
Eric Gerets,Belgium,2,DF, (1954-05-18),56,,PSV,Netherlands,1986-05-31
Franky Van Der Elst,Belgium,3,MF, (1961-04-30),9,,Club Brugge,Belgium,1986-05-31
Michel de Wolf,Belgium,4,DF, (1958-01-19),17,,Gent,Belgium,1986-05-31
Michel Renquin,Belgium,5,DF, (1955-11-03),47,,Standard Liège,Belgium,1986-05-31
Franky Vercauteren,Belgium,6,MF, (1956-10-28),48,,Anderlecht,Belgium,1986-05-31
René Vandereycken,Belgium,7,MF, (1953-07-22),48,,Anderlecht,Belgium,1986-05-31
Enzo Scifo,Belgium,8,MF, (1966-02-19),13,,Anderlecht,Belgium,1986-05-31
Erwin Vandenbergh,Belgium,9,FW, (1959-01-26),39,,Anderlecht,Belgium,1986-05-31
Philippe Desmet,Belgium,10,MF, (1958-11-29),3,,Waregem,Belgium,1986-05-31
Jan Ceulemans (Captain),Belgium,11,MF, (1957-02-28),56,,Club Brugge,Belgium,1986-05-31
Jacky Munaron,Belgium,12,GK, (1956-09-08),7,,Anderlecht,Belgium,1986-05-31
Georges Grün,Belgium,13,DF, (1962-01-25),15,,Anderlecht,Belgium,1986-05-31
Leo Clijsters,Belgium,14,DF, (1956-11-06),13,,Waterschei Thor,Belgium,1986-05-31
Leo Van Der Elst,Belgium,15,MF, (1962-01-07),6,,Club Brugge,Belgium,1986-05-31
Nico Claesen,Belgium,16,FW, (1962-10-07),14,,Standard Liège,Belgium,1986-05-31
Raymond Mommens,Belgium,17,FW, (1958-12-27),14,,Lokeren,Belgium,1986-05-31
Daniel Veyt,Belgium,18,FW, (1956-12-09),2,,Waregem,Belgium,1986-05-31
Hugo Broos,Belgium,19,DF, (1952-04-10),21,,Club Brugge,Belgium,1986-05-31
Gilbert Bodart,Belgium,20,GK, (1962-09-02),1,,Standard Liège,Belgium,1986-05-31
Stéphane Demol,Belgium,21,DF, (1966-03-11),2,,Anderlecht,Belgium,1986-05-31
Patrick Vervoort,Belgium,22,MF, (1965-01-17),2,,Beerschot,Belgium,1986-05-31
