Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Raúl Magaña,El Salvador,1,GK, (1940-02-24),0,,FAS,El Salvador
Roberto Rivas,El Salvador,2,DF, (1941-07-17),3,,Alianza,El Salvador
Salvador Mariona (c),El Salvador,3,DF, (1943-12-16),0,,Alianza,El Salvador
Santiago Cortés,El Salvador,4,DF, (1945-01-19),0,,Atlético Marte,El Salvador
Saturnino Osorio,El Salvador,5,DF, (1945-01-06),0,,Águila,El Salvador
José Quintanilla,El Salvador,6,MF, (1947-10-29),3,,Atlético Marte,El Salvador
Mauricio Rodríguez,El Salvador,7,MF, (1945-09-12),3,,Universidad,El Salvador
Jorge Vásquez,El Salvador,8,MF, (1945-04-23),3,,Universidad,El Salvador
Juan Ramón Martínez,El Salvador,9,MF, (1948-04-20),3,,Águila,El Salvador
Salvador Cabezas,El Salvador,10,FW, (1947-02-28),2,,Adler San Nicolas,El Salvador
Ernesto Aparicio,El Salvador,11,FW, (1948-12-28),0,,Atlético Marte,El Salvador
Mario Monge,El Salvador,12,FW, (1938-11-27),0,,FAS,El Salvador
Tomás Pineda,El Salvador,13,GK, (1946-01-21),?,,Juventud Olimpica,El Salvador
Mauricio Manzano,El Salvador,14,DF, (1943-09-30),0,,FAS,El Salvador
David Cabrera,El Salvador,15,FW, (1945-09-12),?,,FAS,El Salvador
Genaro Sarmeno,El Salvador,16,MF, (1948-11-28),0,,FAS,El Salvador
Jaime Portillo,El Salvador,17,FW, (1947-09-18),0,,Alianza,El Salvador
Guillermo Castro,El Salvador,18,DF, (1940-06-25),2,,Atlético Marte,El Salvador
Sergio Méndez,El Salvador,19,MF, (1942-02-14),3,,Atlético Marte,El Salvador
Gualberto Fernández,El Salvador,20,GK, (1941-07-12),3,,Atlante San Alejo,El Salvador
Elmer Acevedo,El Salvador,21,FW, (1946-02-24),1,,FAS,El Salvador
Alberto Villalta,El Salvador,22,MF, (1947-11-19),2,,Atlético Marte,El Salvador
