Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Bodo Illgner,West Germany,1,GK, (1967-04-07),15,,1. FC Köln,West Germany,1990-06-08
Stefan Reuter,West Germany,2,DF, (1966-10-16),16,,Bayern Munich,West Germany,1990-06-08
Andreas Brehme,West Germany,3,DF, (1960-11-09),51,,Internazionale,Italy,1990-06-08
Jürgen Kohler,West Germany,4,DF, (1965-10-06),27,,Bayern Munich,West Germany,1990-06-08
Klaus Augenthaler,West Germany,5,DF, (1957-09-26),20,,Bayern Munich,West Germany,1990-06-08
Guido Buchwald,West Germany,6,DF, (1961-01-24),32,,VfB Stuttgart,West Germany,1990-06-08
Pierre Littbarski,West Germany,7,MF, (1960-04-16),67,,1. FC Köln,West Germany,1990-06-08
Thomas Häßler,West Germany,8,MF, (1966-05-30),12,,1. FC Köln,West Germany,1990-06-08
Rudi Völler,West Germany,9,FW, (1960-04-13),63,,Roma,Italy,1990-06-08
Lothar Matthäus (c),West Germany,10,MF, (1961-03-21),74,,Internazionale,Italy,1990-06-08
Frank Mill,West Germany,11,FW, (1958-07-23),17,,Borussia Dortmund,West Germany,1990-06-08
Raimond Aumann,West Germany,12,GK, (1963-10-12),3,,Bayern Munich,West Germany,1990-06-08
Karl-Heinz Riedle,West Germany,13,FW, (1965-09-16),6,,Werder Bremen,West Germany,1990-06-08
Thomas Berthold,West Germany,14,DF, (1964-11-12),35,,Roma,Italy,1990-06-08
Uwe Bein,West Germany,15,MF, (1960-09-26),6,,Eintracht Frankfurt,West Germany,1990-06-08
Paul Steiner,West Germany,16,DF, (1957-01-23),1,,1. FC Köln,West Germany,1990-06-08
Andreas Möller,West Germany,17,MF, (1967-09-02),10,,Borussia Dortmund,West Germany,1990-06-08
Jürgen Klinsmann,West Germany,18,FW, (1964-07-30),18,,Internazionale,Italy,1990-06-08
Hans Pflügler,West Germany,19,DF, (1960-03-27),10,,Bayern Munich,West Germany,1990-06-08
Olaf Thon,West Germany,20,MF, (1966-05-01),33,,Bayern Munich,West Germany,1990-06-08
Günter Hermann,West Germany,21,MF, (1960-12-05),2,,Werder Bremen,West Germany,1990-06-08
Andreas Köpke,West Germany,22,GK, (1962-03-12),1,,1. FC Nürnberg,West Germany,1990-06-08
