Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Rinat Dasayev (c),Soviet Union,1,GK, (1957-06-13),90,,Sevilla,Spain
Volodymyr Bezsonov,Soviet Union,2,DF, (1958-03-05),77,,Dynamo Kyiv,Soviet Union
Vagiz Khidiyatullin,Soviet Union,3,DF, (1959-03-03),55,,Toulouse,France
Oleh Kuznetsov,Soviet Union,4,DF, (1963-03-22),49,,Dynamo Kyiv,Soviet Union
Anatoliy Demyanenko,Soviet Union,5,DF, (1959-02-19),79,,Dynamo Kyiv,Soviet Union
Vasyl Rats,Soviet Union,6,MF, (1961-04-25),46,,Dynamo Kyiv,Soviet Union
Sergei Aleinikov,Soviet Union,7,MF, (1961-11-07),61,,Juventus,Italy
Gennadiy Lytovchenko,Soviet Union,8,MF, (1963-09-11),54,,Dynamo Kyiv,Soviet Union
Oleksandr Zavarov,Soviet Union,9,MF, (1961-04-20),38,,Juventus,Italy
Oleh Protasov,Soviet Union,10,FW, (1964-02-04),60,,Dynamo Kyiv,Soviet Union
Igor Dobrovolski,Soviet Union,11,FW, (1967-08-27),13,,Dynamo Moscow,Soviet Union
Aleksandr Borodyuk,Soviet Union,12,MF, (1962-11-30),5,,Schalke 04,West Germany
Akhrik Tsveiba,Soviet Union,13,DF, (1966-09-10),3,,Dynamo Kyiv,Soviet Union
Volodymyr Lyutyi,Soviet Union,14,FW, (1962-04-24),2,,Schalke 04,West Germany
Ivan Yaremchuk,Soviet Union,15,MF, (1962-03-19),16,,Dynamo Kyiv,Soviet Union
Viktor Chanov,Soviet Union,16,GK, (1959-07-21),21,,Dynamo Kyiv,Soviet Union
Andrei Zygmantovich,Soviet Union,17,MF, (1962-12-02),34,,Dynamo Minsk,Soviet Union
Igor Shalimov,Soviet Union,18,MF, (1969-02-02),0,,Spartak Moscow,Soviet Union
Sergei Fokin,Soviet Union,19,DF, (1961-07-26),3,,CSKA Moscow,Soviet Union
Sergei Gorlukovich,Soviet Union,20,DF, (1961-11-18),15,,Borussia Dortmund,West Germany
Valeri Broshin,Soviet Union,21,MF, (1962-10-19),2,,CSKA Moscow,Soviet Union
Aleksandr Uvarov,Soviet Union,22,GK, (1960-01-13),1,,Dynamo Moscow,Soviet Union
