Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Tomislav Ivković,Yugoslavia,1,GK, (1960-08-11),26,,Sporting CP,Portugal
Vujadin Stanojković,Yugoslavia,2,DF, (1963-09-10),16,,Partizan,Socialist Federal Republic of Yugoslavia
Predrag Spasić,Yugoslavia,3,DF, (1965-05-13),18,,Partizan,Socialist Federal Republic of Yugoslavia
Zoran Vulić,Yugoslavia,4,DF, (1961-10-04),15,,Mallorca,Spain
Faruk Hadžibegić,Yugoslavia,5,DF, (1957-10-07),45,,Sochaux,France
Davor Jozić,Yugoslavia,6,DF, (1960-09-22),17,,Cesena,Italy
Dragoljub Brnović,Yugoslavia,7,MF, (1963-11-02),20,,Metz,France
Safet Sušić,Yugoslavia,8,MF, (1955-04-13),47,,Paris Saint-Germain,France
Darko Pančev,Yugoslavia,9,FW, (1965-09-07),14,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Dragan Stojković,Yugoslavia,10,MF, (1965-03-03),33,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Zlatko Vujović (c),Yugoslavia,11,FW, (1958-08-26),63,,Paris Saint-Germain,France
Fahrudin Omerović,Yugoslavia,12,GK, (1961-08-26),0,,Partizan,Socialist Federal Republic of Yugoslavia
Srečko Katanec,Yugoslavia,13,MF, (1963-07-16),26,,Sampdoria,Italy
Alen Bokšić,Yugoslavia,14,FW, (1970-01-21),0,,Hajduk Split,Socialist Federal Republic of Yugoslavia
Robert Prosinečki,Yugoslavia,15,MF, (1969-01-12),7,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Refik Šabanadžović,Yugoslavia,16,MF, (1965-08-02),4,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Robert Jarni,Yugoslavia,17,MF, (1968-10-26),1,,Hajduk Split,Socialist Federal Republic of Yugoslavia
Mirsad Baljić,Yugoslavia,18,DF, (1962-03-04),28,,Sion,Switzerland
Dejan Savićević,Yugoslavia,19,MF, (1966-09-15),13,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Davor Šuker,Yugoslavia,20,FW, (1968-01-01),0,,Dinamo Zagreb,Socialist Federal Republic of Yugoslavia
Andrej Panadić,Yugoslavia,21,DF, (1969-03-09),3,,Dinamo Zagreb,Socialist Federal Republic of Yugoslavia
Dragoje Leković,Yugoslavia,22,GK, (1967-11-21),3,,Budućnost Titograd,Socialist Federal Republic of Yugoslavia
