Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Ahmed Shobair,Egypt,1,GK, (1960-09-28),52,,Al Ahly,Egypt
Ibrahim Hassan,Egypt,2,DF, (1966-08-10),45,,Al Ahly,Egypt
Rabie Yassin,Egypt,3,DF, (1960-09-07),81,,Al Ahly,Egypt
Hany Ramzy,Egypt,4,DF, (1969-03-10),28,,Al Ahly,Egypt
Hesham Yakan,Egypt,5,DF, (1962-08-10),35,,Zamalek,Egypt
Ashraf Kasem,Egypt,6,DF, (1966-07-25),38,,Zamalek,Egypt
Ismail Youssef,Egypt,7,MF, (1964-06-28),29,,Zamalek,Egypt
Magdi Abdelghani,Egypt,8,MF, (1959-07-27),34,,Beira-Mar,Portugal
Hossam Hassan,Egypt,9,FW, (1966-08-10),49,,Al Ahly,Egypt
Gamal Abdel-Hamid (c),Egypt,10,MF, (1957-11-24),76,,Zamalek,Egypt
Tarek Soliman,Egypt,11,MF, (1962-01-24),6,,Al-Masry,Egypt
Taher Abouzeid,Egypt,12,MF, (1962-04-10),57,,Al Ahly,Egypt
Ahmed Ramzy,Egypt,13,DF, (1965-10-25),27,,Zamalek,Egypt
Alaa Maihoub,Egypt,14,MF, (1963-01-19),8,,Al Ahly,Egypt
Saber Eid,Egypt,15,MF, (1959-05-01),2,,Ghazl El-Mehalla,Egypt
Magdy Tolba,Egypt,16,MF, (1964-02-24),1,,PAOK,Greece
Ayman Shawky,Egypt,17,FW, (1962-12-09),4,,Al Ahly,Egypt
Osama Orabi,Egypt,18,MF, (1962-01-22),1,,Al Ahly,Egypt
Adel Abdel Rahman,Egypt,19,FW, (1967-12-11),0,,Al Ahly,Egypt
Ahmed El-Kass,Egypt,20,FW, (1965-07-08),42,,El-Olympi Alexandria,Egypt
Ayman Taher,Egypt,21,GK, (1966-01-07),?,,Zamalek,Egypt
Thabet El-Batal,Egypt,22,GK, (1953-09-16),87,,Al Ahly,Egypt
