Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Diego Benaglio,Switzerland,1,GK, (1983-09-08),27,,VfL Wolfsburg,Germany,2010-06-11
Stephan Lichtsteiner,Switzerland,2,DF, (1984-01-16),28,,Lazio,Italy,2010-06-11
Ludovic Magnin,Switzerland,3,DF, (1979-04-20),62,,Zürich,Switzerland,2010-06-11
Philippe Senderos,Switzerland,4,DF, (1985-02-14),40,,Everton,England,2010-06-11
Steve von Bergen,Switzerland,5,DF, (1983-06-10),11,,Hertha BSC,Germany,2010-06-11
Benjamin Huggel,Switzerland,6,MF, (1977-07-07),38,,Basel,Switzerland,2010-06-11
Tranquillo Barnetta,Switzerland,7,MF, (1985-05-22),52,,Bayer Leverkusen,Germany,2010-06-11
Gökhan Inler,Switzerland,8,MF, (1984-06-27),36,,Udinese,Italy,2010-06-11
Alexander Frei (c),Switzerland,9,FW, (1979-07-15),75,,Basel,Switzerland,2010-06-11
Blaise Nkufo,Switzerland,10,FW, (1975-05-25),31,,Twente,Netherlands,2010-06-11
Valon Behrami,Switzerland,11,MF, (1985-04-19),27,,West Ham United,England,2010-06-11
Marco Wölfli,Switzerland,12,GK, (1982-08-22),5,,Young Boys,Switzerland,2010-06-11
Stéphane Grichting,Switzerland,13,DF, (1979-03-30),35,,Auxerre,France,2010-06-11
Marco Padalino,Switzerland,14,MF, (1983-12-08),8,,Sampdoria,Italy,2010-06-11
Hakan Yakin,Switzerland,15,MF, (1977-02-22),81,,Luzern,Switzerland,2010-06-11
Gélson Fernandes,Switzerland,16,MF, (1986-09-02),24,,Saint-Étienne,France,2010-06-11
Reto Ziegler,Switzerland,17,DF, (1986-01-16),12,,Sampdoria,Italy,2010-06-11
Albert Bunjaku,Switzerland,18,FW, (1983-11-29),3,,1. FC Nürnberg,Germany,2010-06-11
Eren Derdiyok,Switzerland,19,FW, (1988-06-12),21,,Bayer Leverkusen,Germany,2010-06-11
Pirmin Schwegler,Switzerland,20,MF, (1987-03-09),4,,Eintracht Frankfurt,Germany,2010-06-11
Johnny Leoni,Switzerland,21,GK, (1984-06-30),0,,Zürich,Switzerland,2010-06-11
Mario Eggimann,Switzerland,22,DF, (1981-01-24),8,,Hannover 96,Germany,2010-06-11
Xherdan Shaqiri,Switzerland,23,MF, (1991-10-10),3,,Basel,Switzerland,2010-06-11
