Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Boubacar Barry,Ivory Coast,1,GK, (1979-12-30),45,,Lokeren,Belgium
Benjamin Angoua,Ivory Coast,2,DF, (1986-11-28),7,,Valenciennes,France
Arthur Boka,Ivory Coast,3,DF, (1983-04-02),54,,VfB Stuttgart,Germany
Kolo Touré,Ivory Coast,4,DF, (1981-03-19),76,,Manchester City,England
Didier Zokora,Ivory Coast,5,MF, (1980-12-14),80,,Sevilla,Spain
Steve Gohouri,Ivory Coast,6,DF, (1981-02-08),11,,Wigan Athletic,England
Seydou Doumbia,Ivory Coast,7,FW, (1987-12-31),5,,Young Boys,Switzerland
Salomon Kalou,Ivory Coast,8,FW, (1985-08-05),28,,Chelsea,England
Cheick Tioté,Ivory Coast,9,MF, (1986-06-21),8,,Twente,Netherlands
Gervinho,Ivory Coast,10,FW, (1987-05-27),15,,Lille,France
Didier Drogba (c),Ivory Coast,11,FW, (1978-03-11),68,,Chelsea,England
Jean-Jacques Gosso,Ivory Coast,12,MF, (1983-03-15),6,,Monaco,France
Romaric,Ivory Coast,13,MF, (1983-06-04),38,,Sevilla,Spain
Emmanuel Koné,Ivory Coast,14,MF, (1986-12-31),12,,Internațional,Romania
Aruna Dindane,Ivory Coast,15,FW, (1980-11-26),54,,Portsmouth,England
Aristide Zogbo,Ivory Coast,16,GK, (1981-12-30),6,,Maccabi Netanya,Israel
Siaka Tiéné,Ivory Coast,17,DF, (1982-03-22),55,,Valenciennes,France
Kader Keïta,Ivory Coast,18,MF, (1981-08-06),55,,Galatasaray,Turkey
Yaya Touré,Ivory Coast,19,MF, (1983-05-13),47,,Barcelona,Spain
Guy Demel,Ivory Coast,20,DF, (1981-06-13),26,,Hamburger SV,Germany
Emmanuel Eboué,Ivory Coast,21,DF, (1983-06-04),52,,Arsenal,England
Sol Bamba,Ivory Coast,22,DF, (1985-01-13),16,,Hibernian,Scotland
Daniel Yeboah,Ivory Coast,23,GK, (1984-11-13),4,,ASEC Mimosas,Ivory Coast
