Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Samir Handanović,Slovenia,1,GK, (1984-07-14),39,,Udinese,Italy,2010-06-11
Mišo Brečko,Slovenia,2,DF, (1984-05-01),31,,1. FC Köln,Germany,2010-06-11
Elvedin Džinić,Slovenia,3,DF, (1985-08-25),0,,Maribor,Slovenia,2010-06-11
Marko Šuler,Slovenia,4,DF, (1983-03-09),17,,Gent,Belgium,2010-06-11
Boštjan Cesar,Slovenia,5,DF, (1982-07-09),43,,Grenoble,France,2010-06-11
Branko Ilić,Slovenia,6,DF, (1983-02-06),37,,Lokomotiv Moscow,Russia,2010-06-11
Nejc Pečnik,Slovenia,7,FW, (1986-01-03),8,,Nacional,Portugal,2010-06-11
Robert Koren (c),Slovenia,8,MF, (1980-09-20),46,,West Bromwich Albion,England,2010-06-11
Zlatan Ljubijankić,Slovenia,9,FW, (1983-12-15),17,,Gent,Belgium,2010-06-11
Valter Birsa,Slovenia,10,FW, (1986-08-07),34,,Auxerre,France,2010-06-11
Milivoje Novaković,Slovenia,11,FW, (1979-05-18),38,,1. FC Köln,Germany,2010-06-11
Jasmin Handanović,Slovenia,12,GK, (1978-01-28),3,,Mantova,Italy,2010-06-11
Bojan Jokić,Slovenia,13,DF, (1986-05-17),34,,Chievo,Italy,2010-06-11
Zlatko Dedić,Slovenia,14,FW, (1984-05-10),24,,VfL Bochum,Germany,2010-06-11
Rene Krhin,Slovenia,15,MF, (1990-05-21),4,,Inter Milan,Italy,2010-06-11
Aleksander Šeliga,Slovenia,16,GK, (1980-02-01),1,,Sparta Rotterdam,Netherlands,2010-06-11
Andraž Kirm,Slovenia,17,MF, (1984-09-06),26,,Wisła Kraków,Poland,2010-06-11
Aleksandar Radosavljević,Slovenia,18,MF, (1979-04-25),15,,Larissa,Greece,2010-06-11
Suad Fileković,Slovenia,19,DF, (1978-09-16),14,,Maribor,Slovenia,2010-06-11
Andrej Komac,Slovenia,20,MF, (1979-12-04),41,,Maccabi Tel Aviv,Israel,2010-06-11
Dalibor Stevanović,Slovenia,21,MF, (1984-09-27),15,,Vitesse,Netherlands,2010-06-11
Matej Mavrič,Slovenia,22,DF, (1979-01-29),32,,TuS Koblenz,Germany,2010-06-11
Tim Matavž,Slovenia,23,FW, (1989-01-13),1,,Groningen,Netherlands,2010-06-11
