Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Nasser Hejazi,Iran,1,GK, (1949-12-14),4,,Shahbaz,Iran
Iraj Danaeifard,Iran,2,MF, (1951-03-19),0,,Taj,Iran
Behtash Fariba,Iran,3,FW, (1955-02-11),1,,Pas,Iran
Majid Bishkar,Iran,4,FW, (1956-08-06),?,,Shahbaz,Iran
Javad Allahverdi,Iran,5,DF, (1954-07-16),1,,Persepolis,Iran
Hassan Nayebagha,Iran,6,MF, (1950-09-17),0,,Guard FC,Iran
Ali Parvin (c),Iran,7,MF, (1946-10-12),7,,Persepolis,Iran
Ebrahim Ghasempour,Iran,8,MF, (1956-08-24),1,,Shahbaz,Iran
Mohammad Sadeghi,Iran,9,MF, (1951-03-17),3,,Persepolis,Iran
Hassan Rowshan,Iran,10,FW, (1955-06-02),4,,Taj,Iran
Alireza Ghashghaean,Iran,11,DF, (1954-02-27),?,,Bargh Shiraz,Iran
Bahram Mavaddat,Iran,12,GK, (1950-01-30),?,,Sepahan,Iran
Hamid Majd Teymouri,Iran,13,FW, (1953-06-03),?,,Shahbaz,Iran
Hassan Nazari,Iran,14,DF, (1955-08-19),4,,Taj,Iran
Andranik Eskandarian,Iran,15,DF, (1951-12-31),4,,Taj,Iran
Nasser Nouraei,Iran,16,FW, (1956-07-09),?,,Guard FC,Iran
Ghafour Jahani,Iran,17,FW, (1950-06-18),1,,Malavan,Iran
Hossein Faraki,Iran,18,FW, (1956-04-19),1,,Pas,Iran
Ali Shojaei,Iran,19,MF, (1953-03-23),?,,Sepahan,Iran
Nasrollah Abdollahi,Iran,20,DF, (1951-09-02),3,,Shahbaz,Iran
Hossein Kazerani,Iran,21,DF, (1947-04-13),1,,Pas,Iran
Rasoul Korbekandi,Iran,22,GK, (1953-01-27),?,,Zob Ahan,Iran
