Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Leão,Brazil,1,GK, (1949-07-11),50,,Palmeiras,Brazil
Toninho,Brazil,2,DF, (1948-06-07),4,,Flamengo,Brazil
Oscar,Brazil,3,DF, (1954-06-20),4,,Ponte Preta,Brazil
Amaral,Brazil,4,DF, (1954-12-25),22,,Guarani,Brazil
Toninho Cerezo,Brazil,5,MF, (1955-04-21),16,,Atlético Mineiro,Brazil
Edinho,Brazil,6,DF, (1955-06-05),12,,Fluminense,Brazil
Zé Sérgio,Brazil,7,FW, (1957-03-08),2,,São Paulo,Brazil
Zico,Brazil,8,MF, (1953-03-03),21,,Flamengo,Brazil
Reinaldo,Brazil,9,FW, (1957-01-11),12,,Atlético Mineiro,Brazil
Rivelino (c),Brazil,10,FW, (1946-01-01),88,,Fluminense,Brazil
Dirceu,Brazil,11,MF, (1952-06-15),14,,Vasco da Gama,Brazil
Carlos,Brazil,12,GK, (1956-03-04),0,,Ponte Preta,Brazil
Nelinho,Brazil,13,DF, (1950-07-26),13,,Cruzeiro,Brazil
Abel,Brazil,14,DF, (1952-09-01),1,,Vasco da Gama,Brazil
Polozzi,Brazil,15,DF, (1955-10-01),0,,Ponte Preta,Brazil
Rodrigues Neto,Brazil,16,DF, (1949-12-06),7,,Botafogo,Brazil
Batista,Brazil,17,MF, (1955-03-08),4,,Internacional,Brazil
Gil,Brazil,18,FW, (1950-12-24),22,,Botafogo,Brazil
Jorge Mendonça,Brazil,19,FW, (1954-06-06),0,,Palmeiras,Brazil
Roberto Dinamite,Brazil,20,FW, (1954-04-13),20,,Vasco da Gama,Brazil
Chicão,Brazil,21,MF, (1949-01-30),5,,São Paulo,Brazil
Waldir Peres,Brazil,22,GK, (1951-02-02),5,,São Paulo,Brazil
