Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Antonio Carbajal,Mexico,1,GK, (1929-06-07),11,,FC León,Mexico
Narciso López,Mexico,2,DF, (1928-08-18),3,,CD Oro,Mexico
Jorge Romo,Mexico,3,DF, (1923-04-20),5,,Club Deportivo Marte,Mexico
Saturnino Martínez,Mexico,4,DF, (1928-01-01),6,,Necaxa,Mexico
Raúl Cárdenas,Mexico,5,MF, (1928-10-30),4,,Puebla F.C.,Mexico
Rafael Ávalos,Mexico,6,MF, (1925-11-22),4,,Atlante F.C.,Mexico
Alfredo Torres,Mexico,7,FW, (1931-05-31),3,,Atlas,Mexico
José Naranjo (c),Mexico,8,FW, (1926-03-19),12,,CD Oro,Mexico
José Luis Lamadrid,Mexico,9,FW, (1930-07-03),5,,Necaxa,Mexico
Tomás Balcázar,Mexico,10,FW, (1931-12-21),9,,CD Guadalajara,Mexico
Raúl Arellano,Mexico,11,FW, (1935-02-28),0,,CD Guadalajara,Mexico
Salvador Mota,Mexico,12,GK, (1922-11-30),0,,Atlante F.C.,Mexico
Sergio Bravo,Mexico,13,DF, (1927-11-27),6,,FC León,Mexico
Juan Gómez,Mexico,14,DF, (1924-06-26),0,,Atlas,Mexico
Carlos Blanco,Mexico,15,FW, (1928-03-05),4,,Necaxa,Mexico
Pedro Nájera,Mexico,16,MF, (1929-02-03),0,,Club América,Mexico
Carlos Septién,Mexico,17,FW, (1923-01-18),13,,CD Tampico,Mexico
Carlos Carus,Mexico,18,FW, (1930-10-06),0,,Club Toluca,Mexico
Moises Jinich,Mexico,19,FW, (1927-12-15),1,,Atlante F.C.,Mexico
José Antonio Roca,Mexico,20,FW, (1928-05-24),10,,CD Zacatepec,Mexico
Mario Ochoa,Mexico,21,MF, (1927-11-07),5,,Club Deportivo Marte,Mexico
Ranulfo Cortés,Mexico,22,FW, (1934-07-09),0,,CD Oro,Mexico
