Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Fred Martin,Scotland,1,GK, (1929-05-13),2,,Aberdeen,Scotland,1954-06-16
Willie Cunningham (c),Scotland,2,DF, (1925-02-22),3,,Preston North End,England,1954-06-16
Jock Aird,Scotland,3,DF, (1926-02-18),2,,Burnley,England,1954-06-16
Bobby Evans,Scotland,4,DF, (1927-07-16),17,,Celtic,Scotland,1954-06-16
Tommy Docherty,Scotland,5,DF, (1928-08-24),5,,Preston North End,England,1954-06-16
Jimmy Davidson,Scotland,6,MF, (1925-11-08),2,,Partick Thistle,Scotland,1954-06-16
Doug Cowie,Scotland,7,MF, (1926-05-01),6,,Dundee,Scotland,1954-06-16
John Mackenzie,Scotland,8,FW, (1925-09-04),4,,Partick Thistle,Scotland,1954-06-16
George Hamilton,Scotland,9,FW, (1917-12-07),5,,Aberdeen,Scotland,1954-06-16
Allan Brown,Scotland,10,FW, (1926-10-12),12,,Blackpool,England,1954-06-16
Neil Mochan,Scotland,11,FW, (1927-04-06),1,,Celtic,Scotland,1954-06-16
Willie Fernie,Scotland,12,FW, (1928-11-22),1,,Celtic,Scotland,1954-06-16
Willie Ormond,Scotland,13,FW, (1927-02-23),3,,Hibernian,Scotland,1954-06-16
John Anderson*,Scotland,14,GK, (1929-12-08),1,,Leicester City,England,1954-06-16
Bobby Johnstone*,Scotland,15,FW, (1929-09-07),11,,Hibernian,Scotland,1954-06-16
Jackie Henderson*,Scotland,16,FW, (1932-01-17),4,,Portsmouth,England,1954-06-16
David Mathers*,Scotland,17,MF, (1931-10-25),1,,Partick Thistle,Scotland,1954-06-16
Alex Wilson*,Scotland,18,DF, (1933-10-29),1,,Portsmouth,England,1954-06-16
Jimmy Binning*,Scotland,19,FW, (1927-07-25),0,,Queen of the South,Scotland,1954-06-16
Bobby Combe*,Scotland,20,FW, (1924-02-29),3,,Hibernian,Scotland,1954-06-16
Ernie Copland*,Scotland,21,FW, (1927-04-15),0,,Raith Rovers,Scotland,1954-06-16
Ian McMillan*,Scotland,22,FW, (1931-03-18),3,,Airdrieonians,Scotland,1954-06-16
