Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Turgay Şeren (c),Turkey,1,GK, (1932-05-15),11,,Galatasaray S.K.,Turkey
Rıdvan Bolatlı,Turkey,2,DF, (1928-12-02),2,,MKE Ankaragücü SK,Turkey
Basri Dirimlili,Turkey,3,DF, (1929-06-07),3,,Fenerbahçe SK,Turkey
Mustafa Ertan,Turkey,4,DF, (1926-04-21),4,,MKE Ankaragücü SK,Turkey
Çetin Zeybek,Turkey,5,MF, (1932-09-12),2,,Kasımpaşa SK,Turkey
Rober Eryol,Turkey,6,MF, (1930-12-21),5,,Galatasaray S.K.,Turkey
Erol Keskin,Turkey,7,FW, (1927-03-02),1,,Adalet SK Istanbul,Turkey
Suat Mamat,Turkey,8,FW, (1930-11-08),2,,Galatasaray S.K.,Turkey
Feridun Buğeker,Turkey,9,FW, (1933-04-05),3,,Fenerbahçe SK,Turkey
Burhan Sargun,Turkey,10,FW, (1929-02-11),5,,Fenerbahçe SK,Turkey
Lefter Küçükandonyadis,Turkey,11,FW, (1925-12-22),3,,Fenerbahçe SK,Turkey
Şükrü Ersoy,Turkey,12,GK, (1934-01-14),3,,MKE Ankaragücü SK,Turkey
Bülent Eken,Turkey,13,GK, (1934-01-01),0,,Beşiktaş J.K.,Turkey
Ali Beratlıgil,Turkey,14,DF, (1931-10-21),2,,Galatasaray S.K.,Turkey
Mehmet Dinçer,Turkey,15,MF, (1924-01-01),0,,Adalet SK Istanbul,Turkey
Nedim Günar,Turkey,16,DF, (1932-01-02),0,,Fenerbahçe SK,Turkey
Naci Erdem,Turkey,17,DF, (1931-01-28),0,,Fenerbahçe SK,Turkey
Kaçmaz Akgün,Turkey,18,DF, (1935-02-19),1,,Fenerbahçe SK,Turkey
Ahmet Berman,Turkey,19,DF, (1932-01-01),0,,Beşiktaş J.K.,Turkey
Necmi Onarıcı,Turkey,20,FW, (1925-11-02),0,,Adalet SK Istanbul,Turkey
Kadri Aytaç,Turkey,21,FW, (1931-08-06),0,,Galatasaray S.K.,Turkey
Coşkun Taş,Turkey,22,FW, (1935-04-23),2,,Beşiktaş J.K.,Turkey
